"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2018-7-25","NAPL",2018,7,25,10,20,"07-25","07-25_10",16.6956,2018-07-25 10:20:00,"all",1532528400,0.333333333333333,-0.966800000000003,-2.90040000000001,"Increase"
"2018-7-25","NAPL",2018,7,25,10,40,"07-25","07-25_10",16.3596,2018-07-25 10:40:01,"all",1532529601,0.333611111111111,-0.335999999999999,-1.00716069941715,"Increase"
"2018-7-25","NAPL",2018,7,25,11,0,"07-25","07-25_11",16.4046,2018-07-25 11:00:02,"all",1532530802,0.333611111111111,0.0449999999999982,0.134887593671935,"Increase"
"2018-7-25","NAPL",2018,7,25,11,20,"07-25","07-25_11",16.3936,2018-07-25 11:20:03,"all",1532532003,0.333611111111111,-0.0109999999999992,-0.032972522897583,"Increase"
"2018-7-25","NAPL",2018,7,25,11,39,"07-25","07-25_11",16.2297,2018-07-25 11:39:56,"all",1532533196,0.331388888888889,-0.163899999999998,-0.494585079631176,"Increase"
"2018-7-25","NAPL",2018,7,25,11,59,"07-25","07-25_11",16.007,2018-07-25 11:59:57,"all",1532534397,0.333611111111111,-0.2227,-0.667543713572022,"Increase"
"2018-7-25","NAPL",2018,7,25,12,19,"07-25","07-25_12",15.9634,2018-07-25 12:19:58,"all",1532535598,0.333611111111111,-0.0436000000000014,-0.130691090757706,"Increase"
"2018-7-25","NAPL",2018,7,25,12,39,"07-25","07-25_12",15.9317,2018-07-25 12:39:59,"all",1532536799,0.333611111111111,-0.0317000000000007,-0.09502081598668,"Increase"
"2018-7-25","NAPL",2018,7,25,13,0,"07-25","07-25_13",15.9569,2018-07-25 13:00:00,"all",1532538000,0.333611111111111,0.0251999999999999,0.0755370524562861,"Increase"
"2018-7-25","NAPL",2018,7,25,13,20,"07-25","07-25_13",16.3107,2018-07-25 13:20:00,"all",1532539200,0.333333333333333,0.353800000000001,1.0614,"Increase"
"2018-7-25","NAPL",2018,7,25,13,40,"07-25","07-25_13",16.6435,2018-07-25 13:40:01,"all",1532540401,0.333611111111111,0.332799999999999,0.997568692756033,"Increase"
"2018-7-25","NAPL",2018,7,25,14,0,"07-25","07-25_14",17.3582,2018-07-25 14:00:02,"all",1532541602,0.333611111111111,0.7147,2.14231473771857,"targetUP"
"2018-7-25","NAPL",2018,7,25,14,20,"07-25","07-25_14",18.6939,2018-07-25 14:20:03,"all",1532542803,0.333611111111111,1.3357,4.00376353039134,"targetUP"
"2018-7-25","NAPL",2018,7,25,14,39,"07-25","07-25_14",19.3679,2018-07-25 14:39:56,"all",1532543996,0.331388888888889,0.674,2.03386420787929,"targetUP"
"2018-7-25","NAPL",2018,7,25,14,59,"07-25","07-25_14",19.1796,2018-07-25 14:59:57,"all",1532545197,0.333611111111111,-0.188299999999998,-0.564429641965024,"Increase"
"2018-7-25","NAPL",2018,7,25,15,19,"07-25","07-25_15",18.7746,2018-07-25 15:19:58,"all",1532546398,0.333611111111111,-0.405000000000001,-1.21398834304746,"Increase"
"2018-7-25","NAPL",2018,7,25,15,39,"07-25","07-25_15",18.3453,2018-07-25 15:39:59,"all",1532547599,0.333611111111111,-0.429299999999998,-1.2868276436303,"Increase"
"2018-7-25","NAPL",2018,7,25,16,0,"07-25","07-25_16",18.0078,2018-07-25 16:00:00,"all",1532548800,0.333611111111111,-0.337500000000002,-1.01165695253956,"Increase"
"2018-7-25","NAPL",2018,7,25,16,20,"07-25","07-25_16",17.7998,2018-07-25 16:20:00,"all",1532550000,0.333333333333333,-0.207999999999998,-0.623999999999995,"Increase"
"2018-7-25","NAPL",2018,7,25,16,40,"07-25","07-25_16",17.7914,2018-07-25 16:40:01,"all",1532551201,0.333611111111111,-0.00840000000000174,-0.025179017485434,"Increase"
"2018-7-25","NAPL",2018,7,25,17,0,"07-25","07-25_17",17.8737,2018-07-25 17:00:02,"all",1532552402,0.333611111111111,0.0823,0.24669442131557,"Increase"
"2018-7-25","NAPL",2018,7,25,17,20,"07-25","07-25_17",17.7504,2018-07-25 17:20:03,"all",1532553603,0.333611111111111,-0.1233,-0.369592006661117,"Increase"
"2018-7-25","NAPL",2018,7,25,17,39,"07-25","07-25_17",17.4767,2018-07-25 17:39:56,"all",1532554796,0.331388888888889,-0.273699999999998,-0.825917854149198,"Increase"
"2018-7-25","NAPL",2018,7,25,17,59,"07-25","07-25_17",17.3936,2018-07-25 17:59:57,"all",1532555997,0.333611111111111,-0.0831000000000017,-0.249092422980854,"Increase"
"2018-7-10","NAPL",2018,7,10,0,19,"07-11","07-11_0",19.8779,2018-07-11 00:19:58,"all",1531282798,0.333611111111111,-0.108499999999999,-0.325228975853454,"Decrease"
"2018-7-10","NAPL",2018,7,10,0,39,"07-11","07-11_0",19.6805,2018-07-11 00:39:59,"all",1531283999,0.333611111111111,-0.197400000000002,-0.591706910907582,"Decrease"
"2018-7-11","NAPL",2018,7,11,1,0,"07-11","07-11_1",19.4934,2018-07-11 01:00:00,"all",1531285200,0.333611111111111,-0.187099999999997,-0.560832639467103,"Decrease"
