"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2018-5-1","NAPL",2018,5,1,1,0,"05-01","05-01_1",13.4974,2018-05-01 01:00:00,"all",1525150800,NA,NA,NA
"2018-5-1","NAPL",2018,5,1,1,20,"05-01","05-01_1",13.4385,2018-05-01 01:20:00,"all",1525152000,0.333333333333333,-0.0589000000000013,-0.176700000000004
"2018-5-1","NAPL",2018,5,1,1,40,"05-01","05-01_1",13.4507,2018-05-01 01:40:01,"all",1525153201,0.333611111111111,0.0122,0.0365695253955037
"2018-5-1","NAPL",2018,5,1,2,0,"05-01","05-01_2",13.4503,2018-05-01 02:00:02,"all",1525154402,0.333611111111111,-0.000399999999999068,-0.00119900083263667
"2018-5-1","NAPL",2018,5,1,2,20,"05-01","05-01_2",13.395,2018-05-01 02:20:03,"all",1525155603,0.333611111111111,-0.0553000000000008,-0.165761865112409
"2018-5-1","NAPL",2018,5,1,2,39,"05-01","05-01_2",13.3266,2018-05-01 02:39:56,"all",1525156796,0.331388888888889,-0.0684000000000005,-0.206404023470244
"2018-5-1","NAPL",2018,5,1,2,59,"05-01","05-01_2",13.3143,2018-05-01 02:59:57,"all",1525157997,0.333611111111111,-0.0122999999999998,-0.0368692756036629
"2018-5-1","NAPL",2018,5,1,3,19,"05-01","05-01_3",13.3184,2018-05-01 03:19:58,"all",1525159198,0.333611111111111,0.0041000000000011,0.0122897585345578
"2018-5-1","NAPL",2018,5,1,3,39,"05-01","05-01_3",13.2833,2018-05-01 03:39:59,"all",1525160399,0.333611111111111,-0.0350999999999999,-0.105212323064113
"2018-5-1","NAPL",2018,5,1,4,0,"05-01","05-01_4",13.2951,2018-05-01 04:00:00,"all",1525161600,0.333611111111111,0.0117999999999991,0.0353705245628617
"2018-5-1","NAPL",2018,5,1,4,20,"05-01","05-01_4",13.3,2018-05-01 04:20:00,"all",1525162800,0.333333333333333,0.00490000000000101,0.014700000000003
"2018-5-1","NAPL",2018,5,1,4,40,"05-01","05-01_4",13.22,2018-05-01 04:40:01,"all",1525164001,0.333611111111111,-0.0800000000000001,-0.239800166527894
"2018-5-1","NAPL",2018,5,1,5,0,"05-01","05-01_5",13.1675,2018-05-01 05:00:02,"all",1525165202,0.333611111111111,-0.0525000000000002,-0.157368859283931
"2018-5-1","NAPL",2018,5,1,5,20,"05-01","05-01_5",13.1862,2018-05-01 05:20:03,"all",1525166403,0.333611111111111,0.018699999999999,0.0560532889258922
"2018-5-1","NAPL",2018,5,1,5,39,"05-01","05-01_5",13.1856,2018-05-01 05:39:56,"all",1525167596,0.331388888888889,-0.000599999999998602,-0.00181056160938388
"2018-5-1","NAPL",2018,5,1,5,59,"05-01","05-01_5",13.1633,2018-05-01 05:59:57,"all",1525168797,0.333611111111111,-0.0223000000000013,-0.0668442964196543
"2018-5-1","NAPL",2018,5,1,6,19,"05-01","05-01_6",13.1849,2018-05-01 06:19:58,"all",1525169998,0.333611111111111,0.0216000000000012,0.0647460449625347
"2018-5-1","NAPL",2018,5,1,6,39,"05-01","05-01_6",13.2047,2018-05-01 06:39:59,"all",1525171199,0.333611111111111,0.0198,0.0593505412156537
"2018-5-1","NAPL",2018,5,1,7,0,"05-01","05-01_7",13.1922,2018-05-01 07:00:00,"all",1525172400,0.333611111111111,-0.0125000000000011,-0.0374687760199865
"2018-5-1","NAPL",2018,5,1,7,20,"05-01","05-01_7",13.1793,2018-05-01 07:20:00,"all",1525173600,0.333333333333333,-0.0129000000000001,-0.0387000000000004
"2018-5-1","NAPL",2018,5,1,7,40,"05-01","05-01_7",13.1455,2018-05-01 07:40:01,"all",1525174801,0.333611111111111,-0.0337999999999994,-0.101315570358033
"2018-5-1","NAPL",2018,5,1,8,0,"05-01","05-01_8",12.9724,2018-05-01 08:00:02,"all",1525176002,0.333611111111111,-0.1731,-0.518867610324729
"2018-5-1","NAPL",2018,5,1,8,20,"05-01","05-01_8",12.5654,2018-05-01 08:20:03,"all",1525177203,0.333611111111111,-0.407,-1.21998334721066
"2018-5-1","NAPL",2018,5,1,8,39,"05-01","05-01_8",12.1308,2018-05-01 08:39:56,"all",1525178396,0.331388888888889,-0.4346,-1.31145012573344
"2018-5-1","NAPL",2018,5,1,8,59,"05-01","05-01_8",12.1321,2018-05-01 08:59:57,"all",1525179597,0.333611111111111,0.00129999999999875,0.00389675270607451
"2018-5-1","NAPL",2018,5,1,9,19,"05-01","05-01_9",12.5258,2018-05-01 09:19:58,"all",1525180798,0.333611111111111,0.393700000000001,1.1801165695254
"2018-5-1","NAPL",2018,5,1,9,39,"05-01","05-01_9",12.5444,2018-05-01 09:39:59,"all",1525181999,0.333611111111111,0.0185999999999993,0.0557535387177331
"2018-5-1","NAPL",2018,5,1,10,0,"05-01","05-01_10",12.1004,2018-05-01 10:00:00,"all",1525183200,0.333611111111111,-0.443999999999999,-1.33089092422981
"2018-5-1","NAPL",2018,5,1,10,20,"05-01","05-01_10",11.8524,2018-05-01 10:20:00,"all",1525184400,0.333333333333333,-0.248000000000001,-0.744000000000003
"2018-5-1","NAPL",2018,5,1,10,40,"05-01","05-01_10",11.9049,2018-05-01 10:40:01,"all",1525185601,0.333611111111111,0.0525000000000002,0.157368859283931
"2018-5-1","NAPL",2018,5,1,11,0,"05-01","05-01_11",11.9374,2018-05-01 11:00:02,"all",1525186802,0.333611111111111,0.0325000000000006,0.0974188176519586
"2018-5-1","NAPL",2018,5,1,11,20,"05-01","05-01_11",11.8083,2018-05-01 11:20:03,"all",1525188003,0.333611111111111,-0.129100000000001,-0.386977518734391
"2018-5-1","NAPL",2018,5,1,11,39,"05-01","05-01_11",11.6958,2018-05-01 11:39:56,"all",1525189196,0.331388888888889,-0.112499999999999,-0.339480301760265
"2018-5-1","NAPL",2018,5,1,11,59,"05-01","05-01_11",11.6336,2018-05-01 11:59:57,"all",1525190397,0.333611111111111,-0.0622000000000007,-0.186444629475439
"2018-5-1","NAPL",2018,5,1,12,19,"05-01","05-01_12",11.587,2018-05-01 12:19:58,"all",1525191598,0.333611111111111,-0.0465999999999998,-0.139683597002497
"2018-5-1","NAPL",2018,5,1,12,39,"05-01","05-01_12",11.7277,2018-05-01 12:39:59,"all",1525192799,0.333611111111111,0.140700000000001,0.421748542880935
"2018-5-1","NAPL",2018,5,1,13,0,"05-01","05-01_13",11.8999,2018-05-01 13:00:00,"all",1525194000,0.333611111111111,0.1722,0.516169858451291
"2018-5-1","NAPL",2018,5,1,13,20,"05-01","05-01_13",11.9227,2018-05-01 13:20:00,"all",1525195200,0.333333333333333,0.0228000000000002,0.0684000000000005
"2018-5-1","NAPL",2018,5,1,13,40,"05-01","05-01_13",12.0543,2018-05-01 13:40:01,"all",1525196401,0.333611111111111,0.131599999999999,0.394471273938381
"2018-5-1","NAPL",2018,5,1,14,0,"05-01","05-01_14",12.3322,2018-05-01 14:00:02,"all",1525197602,0.333611111111111,0.277900000000001,0.833005828476272
"2018-5-1","NAPL",2018,5,1,14,20,"05-01","05-01_14",12.4552,2018-05-01 14:20:03,"all",1525198803,0.333611111111111,0.122999999999999,0.368692756036634
"2018-5-1","NAPL",2018,5,1,14,39,"05-01","05-01_14",12.4845,2018-05-01 14:39:56,"all",1525199996,0.331388888888889,0.029300000000001,0.0884157585917884
"2018-5-1","NAPL",2018,5,1,14,59,"05-01","05-01_14",12.5337,2018-05-01 14:59:57,"all",1525201197,0.333611111111111,0.049199999999999,0.147477102414652
"2018-5-1","NAPL",2018,5,1,15,19,"05-01","05-01_15",12.5834,2018-05-01 15:19:58,"all",1525202398,0.333611111111111,0.0496999999999996,0.148975853455453
"2018-5-1","NAPL",2018,5,1,15,39,"05-01","05-01_15",12.6068,2018-05-01 15:39:59,"all",1525203599,0.333611111111111,0.0234000000000005,0.0701415487094104
"2018-5-1","NAPL",2018,5,1,16,0,"05-01","05-01_16",12.5394,2018-05-01 16:00:00,"all",1525204800,0.333611111111111,-0.0673999999999992,-0.202031640299748
"2018-5-1","NAPL",2018,5,1,16,20,"05-01","05-01_16",12.4717,2018-05-01 16:20:00,"all",1525206000,0.333333333333333,-0.0677000000000003,-0.203100000000001
"2018-5-1","NAPL",2018,5,1,16,40,"05-01","05-01_16",12.5942,2018-05-01 16:40:01,"all",1525207201,0.333611111111111,0.1225,0.367194004995838
"2018-5-1","NAPL",2018,5,1,17,0,"05-01","05-01_17",12.7469,2018-05-01 17:00:02,"all",1525208402,0.333611111111111,0.152699999999999,0.457718567860115
"2018-5-1","NAPL",2018,5,1,17,20,"05-01","05-01_17",12.6782,2018-05-01 17:20:03,"all",1525209603,0.333611111111111,-0.0686999999999998,-0.205928393005828
"2018-5-1","NAPL",2018,5,1,17,39,"05-01","05-01_17",12.5645,2018-05-01 17:39:56,"all",1525210796,0.331388888888889,-0.1137,-0.343101424979044
"2018-5-1","NAPL",2018,5,1,17,59,"05-01","05-01_17",12.6068,2018-05-01 17:59:57,"all",1525211997,0.333611111111111,0.0422999999999991,0.126794338051621
"2018-5-1","NAPL",2018,5,1,18,19,"05-01","05-01_18",12.6359,2018-05-01 18:19:58,"all",1525213198,0.333611111111111,0.0290999999999997,0.0872273105745203
"2018-5-1","NAPL",2018,5,1,18,39,"05-01","05-01_18",12.5603,2018-05-01 18:39:59,"all",1525214399,0.333611111111111,-0.0755999999999997,-0.226611157368858
"2018-5-1","NAPL",2018,5,1,19,0,"05-01","05-01_19",12.5479,2018-05-01 19:00:00,"all",1525215600,0.333611111111111,-0.0123999999999995,-0.0371690258118221
"2018-5-1","NAPL",2018,5,1,19,20,"05-01","05-01_19",12.6855,2018-05-01 19:20:00,"all",1525216800,0.333333333333333,0.137599999999999,0.412799999999997
"2018-5-1","NAPL",2018,5,1,19,40,"05-01","05-01_19",12.8827,2018-05-01 19:40:01,"all",1525218001,0.333611111111111,0.1972,0.591107410491259
"2018-5-1","NAPL",2018,5,1,20,0,"05-01","05-01_20",12.9836,2018-05-01 20:00:02,"all",1525219202,0.333611111111111,0.100899999999999,0.302447960033304
"2018-5-1","NAPL",2018,5,1,20,20,"05-01","05-01_20",12.9585,2018-05-01 20:20:03,"all",1525220403,0.333611111111111,-0.0250999999999983,-0.0752373022481216
"2018-5-1","NAPL",2018,5,1,20,39,"05-01","05-01_20",12.9281,2018-05-01 20:39:56,"all",1525221596,0.331388888888889,-0.0304000000000002,-0.0917351215423309
"2018-5-1","NAPL",2018,5,1,20,59,"05-01","05-01_20",12.9584,2018-05-01 20:59:57,"all",1525222797,0.333611111111111,0.0302999999999987,0.0908243130724356
"2018-5-1","NAPL",2018,5,1,21,19,"05-01","05-01_21",13.0099,2018-05-01 21:19:58,"all",1525223998,0.333611111111111,0.0515000000000008,0.154371357202334
"2018-5-1","NAPL",2018,5,1,21,39,"05-01","05-01_21",13.025,2018-05-01 21:39:59,"all",1525225199,0.333611111111111,0.0151000000000003,0.0452622814321409
"2018-5-1","NAPL",2018,5,1,22,0,"05-01","05-01_22",13.0235,2018-05-01 22:00:00,"all",1525226400,0.333611111111111,-0.00150000000000006,-0.00449625312239817
"2018-5-1","NAPL",2018,5,1,22,20,"05-01","05-01_22",13.0818,2018-05-01 22:20:00,"all",1525227600,0.333333333333333,0.0582999999999991,0.174899999999997
"2018-5-1","NAPL",2018,5,1,22,40,"05-01","05-01_22",13.1779,2018-05-01 22:40:01,"all",1525228801,0.333611111111111,0.0960999999999999,0.288059950041632
"2018-5-1","NAPL",2018,5,1,23,0,"05-01","05-01_23",13.2059,2018-05-01 23:00:02,"all",1525230002,0.333611111111111,0.0280000000000005,0.0839300582847641
"2018-5-1","NAPL",2018,5,1,23,20,"05-01","05-01_23",13.2002,2018-05-01 23:20:03,"all",1525231203,0.333611111111111,-0.00569999999999915,-0.0170857618651099
"2018-5-1","NAPL",2018,5,1,23,39,"05-01","05-01_23",13.2878,2018-05-01 23:39:56,"all",1525232396,0.331388888888889,0.0876000000000001,0.264341994970663
"2018-5-1","NAPL",2018,5,1,23,59,"05-01","05-01_23",13.4011,2018-05-01 23:59:57,"all",1525233597,0.333611111111111,0.113299999999999,0.339616985845126
"2018-5-1","NAPL",2018,5,1,0,19,"05-02","05-02_0",13.4101,2018-05-02 00:19:58,"all",1525234798,0.333611111111111,0.00900000000000034,0.026977518734389
"2018-5-1","NAPL",2018,5,1,0,39,"05-02","05-02_0",13.391,2018-05-02 00:39:59,"all",1525235999,0.333611111111111,-0.0190999999999999,-0.0572522897585342
"2018-5-2","NAPL",2018,5,2,1,0,"05-02","05-02_1",13.4079,2018-05-02 01:00:00,"all",1525237200,0.333611111111111,0.0168999999999997,0.0506577851790166
