"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2020-7-1","NAPL",2020,7,1,1,0,"07-01","07-01_1",15.378,2020-07-01 01:00:00,"all",1593579600,NA,NA,NA
"2020-7-1","NAPL",2020,7,1,1,20,"07-01","07-01_1",15.315,2020-07-01 01:20:00,"all",1593580800,0.333333333333333,-0.0630000000000006,-0.189000000000002
"2020-7-1","NAPL",2020,7,1,1,40,"07-01","07-01_1",15.606,2020-07-01 01:40:01,"all",1593582001,0.333611111111111,0.291,0.872273105745214
"2020-7-1","NAPL",2020,7,1,2,0,"07-01","07-01_2",15.9964,2020-07-01 02:00:02,"all",1593583202,0.333611111111111,0.3904,1.17022481265612
"2020-7-1","NAPL",2020,7,1,2,20,"07-01","07-01_2",15.9536,2020-07-01 02:20:03,"all",1593584403,0.333611111111111,-0.0427999999999997,-0.128293089092422
"2020-7-1","NAPL",2020,7,1,2,39,"07-01","07-01_2",15.3012,2020-07-01 02:39:56,"all",1593585596,0.331388888888889,-0.6524,-1.96868398994132
"2020-7-1","NAPL",2020,7,1,2,59,"07-01","07-01_2",14.6724,2020-07-01 02:59:57,"all",1593586797,0.333611111111111,-0.6288,-1.88482930890924
"2020-7-1","NAPL",2020,7,1,3,19,"07-01","07-01_3",14.2796,2020-07-01 03:19:58,"all",1593587998,0.333611111111111,-0.392799999999999,-1.17741881765195
"2020-7-1","NAPL",2020,7,1,3,39,"07-01","07-01_3",13.9744,2020-07-01 03:39:59,"all",1593589199,0.333611111111111,-0.305200000000001,-0.914837635303917
"2020-7-1","NAPL",2020,7,1,4,0,"07-01","07-01_4",13.7912,2020-07-01 04:00:00,"all",1593590400,0.333611111111111,-0.183199999999999,-0.549142381348874
"2020-7-1","NAPL",2020,7,1,4,20,"07-01","07-01_4",13.6773,2020-07-01 04:20:00,"all",1593591600,0.333333333333333,-0.113899999999999,-0.341699999999998
"2020-7-1","NAPL",2020,7,1,4,40,"07-01","07-01_4",13.7013,2020-07-01 04:40:01,"all",1593592801,0.333611111111111,0.0239999999999991,0.0719400499583654
"2020-7-1","NAPL",2020,7,1,5,0,"07-01","07-01_5",13.8703,2020-07-01 05:00:02,"all",1593594002,0.333611111111111,0.169,0.506577851790176
"2020-7-1","NAPL",2020,7,1,5,20,"07-01","07-01_5",13.9538,2020-07-01 05:20:03,"all",1593595203,0.333611111111111,0.083499999999999,0.250291423813486
"2020-7-1","NAPL",2020,7,1,5,39,"07-01","07-01_5",13.9316,2020-07-01 05:39:56,"all",1593596396,0.331388888888889,-0.0221999999999998,-0.0669907795473589
"2020-7-1","NAPL",2020,7,1,5,59,"07-01","07-01_5",13.9791,2020-07-01 05:59:57,"all",1593597597,0.333611111111111,0.0475000000000012,0.14238134887594
"2020-7-1","NAPL",2020,7,1,6,19,"07-01","07-01_6",14.052,2020-07-01 06:19:58,"all",1593598798,0.333611111111111,0.0728999999999989,0.218517901748539
"2020-7-1","NAPL",2020,7,1,6,39,"07-01","07-01_6",14.0705,2020-07-01 06:39:59,"all",1593599999,0.333611111111111,0.0184999999999995,0.0554537885095739
"2020-7-1","NAPL",2020,7,1,7,0,"07-01","07-01_7",14.0525,2020-07-01 07:00:00,"all",1593601200,0.333611111111111,-0.0179999999999989,-0.0539550374687727
"2020-7-1","NAPL",2020,7,1,7,20,"07-01","07-01_7",14.027,2020-07-01 07:20:00,"all",1593602400,0.333333333333333,-0.025500000000001,-0.0765000000000029
"2020-7-1","NAPL",2020,7,1,7,40,"07-01","07-01_7",14.0071,2020-07-01 07:40:01,"all",1593603601,0.333611111111111,-0.0198999999999998,-0.0596502914238129
"2020-7-1","NAPL",2020,7,1,8,0,"07-01","07-01_8",13.9604,2020-07-01 08:00:02,"all",1593604802,0.333611111111111,-0.0466999999999995,-0.139983347210656
"2020-7-1","NAPL",2020,7,1,8,20,"07-01","07-01_8",13.8845,2020-07-01 08:20:03,"all",1593606003,0.333611111111111,-0.0759000000000007,-0.227510407993341
"2020-7-1","NAPL",2020,7,1,8,39,"07-01","07-01_8",13.8088,2020-07-01 08:39:56,"all",1593607196,0.331388888888889,-0.0756999999999994,-0.22843252305113
"2020-7-1","NAPL",2020,7,1,8,59,"07-01","07-01_8",13.6776,2020-07-01 08:59:57,"all",1593608397,0.333611111111111,-0.1312,-0.393272273105745
"2020-7-1","NAPL",2020,7,1,9,19,"07-01","07-01_9",13.6424,2020-07-01 09:19:58,"all",1593609598,0.333611111111111,-0.0351999999999997,-0.105512073272272
"2020-7-1","NAPL",2020,7,1,9,39,"07-01","07-01_9",13.9071,2020-07-01 09:39:59,"all",1593610799,0.333611111111111,0.2647,0.793438800999166
"2020-7-1","NAPL",2020,7,1,10,0,"07-01","07-01_10",14.1297,2020-07-01 10:00:00,"all",1593612000,0.333611111111111,0.2226,0.667243963363863
"2020-7-1","NAPL",2020,7,1,10,20,"07-01","07-01_10",14.1468,2020-07-01 10:20:00,"all",1593613200,0.333333333333333,0.017100000000001,0.051300000000003
"2020-7-1","NAPL",2020,7,1,10,40,"07-01","07-01_10",14.4926,2020-07-01 10:40:01,"all",1593614401,0.333611111111111,0.345799999999999,1.03653621981682
"2020-7-1","NAPL",2020,7,1,11,0,"07-01","07-01_11",14.8778,2020-07-01 11:00:02,"all",1593615602,0.333611111111111,0.385200000000001,1.15463780183181
"2020-7-1","NAPL",2020,7,1,11,20,"07-01","07-01_11",14.8278,2020-07-01 11:20:03,"all",1593616803,0.333611111111111,-0.0500000000000007,-0.149875104079936
