"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2018-9-1","NAPL",2018,9,1,1,0,"09-01","09-01_1",19.5984,2018-09-01 01:00:00,"all",1535778000,NA,NA,NA
"2018-9-1","NAPL",2018,9,1,1,20,"09-01","09-01_1",19.4458,2018-09-01 01:20:00,"all",1535779200,0.333333333333333,-0.152600000000003,-0.45780000000001
"2018-9-1","NAPL",2018,9,1,1,40,"09-01","09-01_1",19.3699,2018-09-01 01:40:01,"all",1535780401,0.333611111111111,-0.0758999999999972,-0.22751040799333
"2018-9-1","NAPL",2018,9,1,2,0,"09-01","09-01_2",19.4798,2018-09-01 02:00:02,"all",1535781602,0.333611111111111,0.1099,0.329425478767693
"2018-9-1","NAPL",2018,9,1,2,20,"09-01","09-01_2",19.559,2018-09-01 02:20:03,"all",1535782803,0.333611111111111,0.0792000000000002,0.237402164862615
"2018-9-1","NAPL",2018,9,1,2,39,"09-01","09-01_2",19.6568,2018-09-01 02:39:56,"all",1535783996,0.331388888888889,0.0977999999999994,0.295121542330258
"2018-9-1","NAPL",2018,9,1,2,59,"09-01","09-01_2",19.8084,2018-09-01 02:59:57,"all",1535785197,0.333611111111111,0.151599999999998,0.454421315570353
"2018-9-1","NAPL",2018,9,1,3,19,"09-01","09-01_3",19.9138,2018-09-01 03:19:58,"all",1535786398,0.333611111111111,0.1054,0.315936719400498
"2018-9-1","NAPL",2018,9,1,3,39,"09-01","09-01_3",20.0219,2018-09-01 03:39:59,"all",1535787599,0.333611111111111,0.1081,0.324029975020817
"2018-9-1","NAPL",2018,9,1,4,0,"09-01","09-01_4",20.0897,2018-09-01 04:00:00,"all",1535788800,0.333611111111111,0.0678000000000019,0.203230641132395
"2018-9-1","NAPL",2018,9,1,4,20,"09-01","09-01_4",20.1566,2018-09-01 04:20:00,"all",1535790000,0.333333333333333,0.0669000000000004,0.200700000000001
"2018-9-1","NAPL",2018,9,1,4,40,"09-01","09-01_4",20.2721,2018-09-01 04:40:01,"all",1535791201,0.333611111111111,0.115499999999997,0.346211490424638
"2018-9-1","NAPL",2018,9,1,5,0,"09-01","09-01_5",20.3175,2018-09-01 05:00:02,"all",1535792402,0.333611111111111,0.0454000000000008,0.136086594504582
"2018-9-1","NAPL",2018,9,1,5,20,"09-01","09-01_5",20.263,2018-09-01 05:20:03,"all",1535793603,0.333611111111111,-0.0544999999999973,-0.163363863447119
"2018-9-1","NAPL",2018,9,1,5,39,"09-01","09-01_5",20.1853,2018-09-01 05:39:56,"all",1535794796,0.331388888888889,-0.0777000000000001,-0.234467728415759
"2018-9-1","NAPL",2018,9,1,5,59,"09-01","09-01_5",20.1164,2018-09-01 05:59:57,"all",1535795997,0.333611111111111,-0.0689000000000028,-0.206527893422157
"2018-9-1","NAPL",2018,9,1,6,19,"09-01","09-01_6",20.0648,2018-09-01 06:19:58,"all",1535797198,0.333611111111111,-0.051599999999997,-0.154671107410482
"2018-9-1","NAPL",2018,9,1,6,39,"09-01","09-01_6",20.033,2018-09-01 06:39:59,"all",1535798399,0.333611111111111,-0.0318000000000005,-0.0953205661948391
