"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2017-5-20","NAPL",2017,5,20,11,59,"05-20","05-20_11",12.3737,2017-05-20 11:59:57,"all",1495295997,0.333611111111111,-0.1061,-0.318034970857618,"Increase"
"2017-5-20","NAPL",2017,5,20,12,19,"05-20","05-20_12",12.8992,2017-05-20 12:19:58,"all",1495297198,0.333611111111111,0.525500000000001,1.5751873438801,"Increase"
"2017-5-20","NAPL",2017,5,20,12,39,"05-20","05-20_12",13.0434,2017-05-20 12:39:59,"all",1495298399,0.333611111111111,0.1442,0.432239800166527,"Increase"
"2017-5-20","NAPL",2017,5,20,13,0,"05-20","05-20_13",12.8881,2017-05-20 13:00:00,"all",1495299600,0.333611111111111,-0.1553,-0.465512073272274,"Increase"
"2017-5-20","NAPL",2017,5,20,13,20,"05-20","05-20_13",12.7611,2017-05-20 13:20:00,"all",1495300800,0.333333333333333,-0.126999999999999,-0.380999999999997,"Increase"
"2017-5-20","NAPL",2017,5,20,13,40,"05-20","05-20_13",12.5636,2017-05-20 13:40:01,"all",1495302001,0.333611111111111,-0.197500000000002,-0.592006661115742,"Increase"
"2017-5-20","NAPL",2017,5,20,14,0,"05-20","05-20_14",12.3043,2017-05-20 14:00:02,"all",1495303202,0.333611111111111,-0.2593,-0.777252289758534,"Increase"
"2017-5-20","NAPL",2017,5,20,14,20,"05-20","05-20_14",12.3143,2017-05-20 14:20:03,"all",1495304403,0.333611111111111,0.00999999999999979,0.029975020815986,"Increase"
"2017-5-20","NAPL",2017,5,20,14,39,"05-20","05-20_14",12.4499,2017-05-20 14:39:56,"all",1495305596,0.331388888888889,0.1356,0.40918692372171,"Increase"
"2017-5-20","NAPL",2017,5,20,14,59,"05-20","05-20_14",12.1744,2017-05-20 14:59:57,"all",1495306797,0.333611111111111,-0.275499999999999,-0.825811823480431,"Increase"
"2017-5-20","NAPL",2017,5,20,15,19,"05-20","05-20_15",12.2385,2017-05-20 15:19:58,"all",1495307998,0.333611111111111,0.0640999999999998,0.192139883430474,"Increase"
"2017-5-20","NAPL",2017,5,20,15,39,"05-20","05-20_15",13.3237,2017-05-20 15:39:59,"all",1495309199,0.333611111111111,1.0852,3.25288925895088,"targetUP"
"2017-5-20","NAPL",2017,5,20,16,0,"05-20","05-20_16",14.2377,2017-05-20 16:00:00,"all",1495310400,0.333611111111111,0.914,2.73971690258118,"targetUP"
"2017-5-20","NAPL",2017,5,20,16,20,"05-20","05-20_16",14.4812,2017-05-20 16:20:00,"all",1495311600,0.333333333333333,0.243499999999999,0.730499999999997,"Increase"
"2017-5-20","NAPL",2017,5,20,16,40,"05-20","05-20_16",14.6232,2017-05-20 16:40:01,"all",1495312801,0.333611111111111,0.142000000000001,0.425645295587015,"Increase"
"2017-5-20","NAPL",2017,5,20,17,0,"05-20","05-20_17",14.6981,2017-05-20 17:00:02,"all",1495314002,0.333611111111111,0.0748999999999995,0.224512905911739,"Increase"
"2017-5-20","NAPL",2017,5,20,17,20,"05-20","05-20_17",14.5912,2017-05-20 17:20:03,"all",1495315203,0.333611111111111,-0.1069,-0.320432972522896,"Increase"
"2017-5-20","NAPL",2017,5,20,17,39,"05-20","05-20_17",14.1001,2017-05-20 17:39:56,"all",1495316396,0.331388888888889,-0.491100000000001,-1.48194467728416,"Increase"
"2017-5-20","NAPL",2017,5,20,17,59,"05-20","05-20_17",13.5145,2017-05-20 17:59:57,"all",1495317597,0.333611111111111,-0.5856,-1.75533721898418,"Increase"
"2017-5-20","NAPL",2017,5,20,18,19,"05-20","05-20_18",13.474,2017-05-20 18:19:58,"all",1495318798,0.333611111111111,-0.0404999999999998,-0.121398834304745,"Increase"
"2017-5-20","NAPL",2017,5,20,18,39,"05-20","05-20_18",13.8786,2017-05-20 18:39:59,"all",1495319999,0.333611111111111,0.4046,1.21278934221482,"Increase"
"2017-5-20","NAPL",2017,5,20,19,0,"05-20","05-20_19",14.4937,2017-05-20 19:00:00,"all",1495321200,0.333611111111111,0.6151,1.84376353039134,"targetUP"
"2017-5-20","NAPL",2017,5,20,19,20,"05-20","05-20_19",15.3377,2017-05-20 19:20:00,"all",1495322400,0.333333333333333,0.843999999999999,2.532,"targetUP"
"2017-5-20","NAPL",2017,5,20,7,40,"05-20","05-20_7",15.2899,2017-05-20 07:40:01,"all",1495280401,0.333611111111111,-0.1225,-0.367194004995838,"Decrease"
"2017-5-20","NAPL",2017,5,20,8,0,"05-20","05-20_8",15.1665,2017-05-20 08:00:02,"all",1495281602,0.333611111111111,-0.1234,-0.369891756869276,"Decrease"
"2017-5-20","NAPL",2017,5,20,8,20,"05-20","05-20_8",15.1543,2017-05-20 08:20:03,"all",1495282803,0.333611111111111,-0.0122,-0.0365695253955037,"Decrease"
"2017-5-20","NAPL",2017,5,20,8,39,"05-20","05-20_8",15.0932,2017-05-20 08:39:56,"all",1495283996,0.331388888888889,-0.0610999999999997,-0.184375523889354,"Decrease"
"2017-5-20","NAPL",2017,5,20,8,59,"05-20","05-20_8",14.9223,2017-05-20 08:59:57,"all",1495285197,0.333611111111111,-0.1709,-0.512273105745211,"Decrease"
"2017-5-20","NAPL",2017,5,20,9,19,"05-20","05-20_9",14.7275,2017-05-20 09:19:58,"all",1495286398,0.333611111111111,-0.194800000000001,-0.583913405495423,"Decrease"
"2017-5-20","NAPL",2017,5,20,9,39,"05-20","05-20_9",14.5143,2017-05-20 09:39:59,"all",1495287599,0.333611111111111,-0.213199999999999,-0.639067443796832,"Decrease"
"2017-5-20","NAPL",2017,5,20,10,0,"05-20","05-20_10",14.3055,2017-05-20 10:00:00,"all",1495288800,0.333611111111111,-0.2088,-0.625878434637802,"Decrease"
"2017-5-20","NAPL",2017,5,20,10,20,"05-20","05-20_10",14.2189,2017-05-20 10:20:00,"all",1495290000,0.333333333333333,-0.0866000000000007,-0.259800000000002,"Decrease"
"2017-5-20","NAPL",2017,5,20,10,40,"05-20","05-20_10",14.2829,2017-05-20 10:40:01,"all",1495291201,0.333611111111111,0.0640000000000001,0.191840133222315,"Decrease"
"2017-5-20","NAPL",2017,5,20,11,0,"05-20","05-20_11",14.1465,2017-05-20 11:00:02,"all",1495292402,0.333611111111111,-0.1364,-0.408859283930059,"Decrease"
"2017-5-20","NAPL",2017,5,20,11,20,"05-20","05-20_11",13.3936,2017-05-20 11:20:03,"all",1495293603,0.333611111111111,-0.7529,-2.25681931723564,"targetDOWN"
"2017-5-20","NAPL",2017,5,20,11,39,"05-20","05-20_11",12.4798,2017-05-20 11:39:56,"all",1495294796,0.331388888888889,-0.9138,-2.75748533109807,"targetDOWN"
"2017-5-20","NAPL",2017,5,20,11,59,"05-20","05-20_11",12.3737,2017-05-20 11:59:57,"all",1495295997,0.333611111111111,-0.1061,-0.318034970857618,"Decrease"
"2017-5-20","NAPL",2017,5,20,12,19,"05-20","05-20_12",12.8992,2017-05-20 12:19:58,"all",1495297198,0.333611111111111,0.525500000000001,1.5751873438801,"Decrease"
"2017-5-20","NAPL",2017,5,20,12,39,"05-20","05-20_12",13.0434,2017-05-20 12:39:59,"all",1495298399,0.333611111111111,0.1442,0.432239800166527,"Decrease"
"2017-5-20","NAPL",2017,5,20,13,0,"05-20","05-20_13",12.8881,2017-05-20 13:00:00,"all",1495299600,0.333611111111111,-0.1553,-0.465512073272274,"Decrease"
"2017-5-20","NAPL",2017,5,20,13,20,"05-20","05-20_13",12.7611,2017-05-20 13:20:00,"all",1495300800,0.333333333333333,-0.126999999999999,-0.380999999999997,"Decrease"
"2017-5-20","NAPL",2017,5,20,13,40,"05-20","05-20_13",12.5636,2017-05-20 13:40:01,"all",1495302001,0.333611111111111,-0.197500000000002,-0.592006661115742,"Decrease"
"2017-5-20","NAPL",2017,5,20,14,0,"05-20","05-20_14",12.3043,2017-05-20 14:00:02,"all",1495303202,0.333611111111111,-0.2593,-0.777252289758534,"Decrease"
"2017-5-20","NAPL",2017,5,20,14,20,"05-20","05-20_14",12.3143,2017-05-20 14:20:03,"all",1495304403,0.333611111111111,0.00999999999999979,0.029975020815986,"Decrease"
"2017-5-20","NAPL",2017,5,20,14,39,"05-20","05-20_14",12.4499,2017-05-20 14:39:56,"all",1495305596,0.331388888888889,0.1356,0.40918692372171,"Decrease"
"2017-5-20","NAPL",2017,5,20,14,59,"05-20","05-20_14",12.1744,2017-05-20 14:59:57,"all",1495306797,0.333611111111111,-0.275499999999999,-0.825811823480431,"Decrease"
