"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2017-9-1","NAPL",2017,9,1,1,0,"09-01","09-01_1",17.9656,2017-09-01 01:00:00,"all",1504242000,NA,NA,NA
"2017-9-1","NAPL",2017,9,1,1,20,"09-01","09-01_1",17.64,2017-09-01 01:20:00,"all",1504243200,0.333333333333333,-0.325599999999998,-0.976799999999994
"2017-9-1","NAPL",2017,9,1,1,40,"09-01","09-01_1",17.4935,2017-09-01 01:40:01,"all",1504244401,0.333611111111111,-0.1465,-0.439134054954204
"2017-9-1","NAPL",2017,9,1,2,0,"09-01","09-01_2",17.6588,2017-09-01 02:00:02,"all",1504245602,0.333611111111111,0.165299999999998,0.495487094088255
"2017-9-1","NAPL",2017,9,1,2,20,"09-01","09-01_2",17.9569,2017-09-01 02:20:03,"all",1504246803,0.333611111111111,0.298100000000002,0.893555370524568
"2017-9-1","NAPL",2017,9,1,2,39,"09-01","09-01_2",18.2092,2017-09-01 02:39:56,"all",1504247996,0.331388888888889,0.252299999999998,0.761341156747689
"2017-9-1","NAPL",2017,9,1,2,59,"09-01","09-01_2",18.1718,2017-09-01 02:59:57,"all",1504249197,0.333611111111111,-0.0373999999999981,-0.112106577851784
"2017-9-1","NAPL",2017,9,1,3,19,"09-01","09-01_3",18.0538,2017-09-01 03:19:58,"all",1504250398,0.333611111111111,-0.118000000000002,-0.353705245628649
"2017-9-1","NAPL",2017,9,1,3,39,"09-01","09-01_3",17.9987,2017-09-01 03:39:59,"all",1504251599,0.333611111111111,-0.0550999999999995,-0.165162364696085
"2017-9-1","NAPL",2017,9,1,4,0,"09-01","09-01_4",17.8455,2017-09-01 04:00:00,"all",1504252800,0.333611111111111,-0.153199999999998,-0.459217318900911
"2017-9-1","NAPL",2017,9,1,4,20,"09-01","09-01_4",17.7433,2017-09-01 04:20:00,"all",1504254000,0.333333333333333,-0.1022,-0.3066
"2017-9-1","NAPL",2017,9,1,4,40,"09-01","09-01_4",17.9694,2017-09-01 04:40:01,"all",1504255201,0.333611111111111,0.226099999999999,0.677735220649455
"2017-9-1","NAPL",2017,9,1,5,0,"09-01","09-01_5",18.1273,2017-09-01 05:00:02,"all",1504256402,0.333611111111111,0.157900000000001,0.473305578684434
