"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2021-8-1","NAPL",2021,8,1,8,39,"08-01","08-01_8",14.8537,2021-08-01 08:39:56,"all",1627821596,0.331388888888889,0.0706000000000007,0.213042749371335,"Increase"
"2021-8-1","NAPL",2021,8,1,8,59,"08-01","08-01_8",14.8653,2021-08-01 08:59:57,"all",1627822797,0.333611111111111,0.0115999999999996,0.0347710241465434,"Increase"
"2021-8-1","NAPL",2021,8,1,9,19,"08-01","08-01_9",14.5721,2021-08-01 09:19:58,"all",1627823998,0.333611111111111,-0.293199999999999,-0.878867610324726,"Increase"
"2021-8-1","NAPL",2021,8,1,9,39,"08-01","08-01_9",14.231,2021-08-01 09:39:59,"all",1627825199,0.333611111111111,-0.341100000000001,-1.02244796003331,"Increase"
"2021-8-1","NAPL",2021,8,1,10,0,"08-01","08-01_10",14.1111,2021-08-01 10:00:00,"all",1627826400,0.333611111111111,-0.119899999999999,-0.359400499583679,"Increase"
"2021-8-1","NAPL",2021,8,1,10,20,"08-01","08-01_10",14.0368,2021-08-01 10:20:00,"all",1627827600,0.333333333333333,-0.0743000000000009,-0.222900000000003,"Increase"
"2021-8-1","NAPL",2021,8,1,10,40,"08-01","08-01_10",14.1024,2021-08-01 10:40:01,"all",1627828801,0.333611111111111,0.0655999999999999,0.196636136552872,"Increase"
"2021-8-1","NAPL",2021,8,1,11,0,"08-01","08-01_11",14.2657,2021-08-01 11:00:02,"all",1627830002,0.333611111111111,0.163300000000001,0.489492089925066,"Increase"
"2021-8-1","NAPL",2021,8,1,11,20,"08-01","08-01_11",14.1663,2021-08-01 11:20:03,"all",1627831203,0.333611111111111,-0.099400000000001,-0.297951706910911,"Increase"
"2021-8-1","NAPL",2021,8,1,11,39,"08-01","08-01_11",13.9742,2021-08-01 11:39:56,"all",1627832396,0.331388888888889,-0.1921,-0.579681475272422,"Increase"
"2021-8-1","NAPL",2021,8,1,11,59,"08-01","08-01_11",14.3013,2021-08-01 11:59:57,"all",1627833597,0.333611111111111,0.3271,0.980482930890924,"Increase"
"2021-8-1","NAPL",2021,8,1,12,19,"08-01","08-01_12",15.0631,2021-08-01 12:19:58,"all",1627834798,0.333611111111111,0.761800000000001,2.28349708576187,"targetUP"
"2021-8-1","NAPL",2021,8,1,12,39,"08-01","08-01_12",15.4457,2021-08-01 12:39:59,"all",1627835999,0.333611111111111,0.3826,1.14684429641965,"Increase"
"2021-8-1","NAPL",2021,8,1,13,0,"08-01","08-01_13",15.4539,2021-08-01 13:00:00,"all",1627837200,0.333611111111111,0.00820000000000043,0.0245795170691104,"Increase"
"2021-8-1","NAPL",2021,8,1,13,20,"08-01","08-01_13",15.583,2021-08-01 13:20:00,"all",1627838400,0.333333333333333,0.129099999999999,0.387299999999998,"Increase"
"2021-8-1","NAPL",2021,8,1,13,40,"08-01","08-01_13",15.8704,2021-08-01 13:40:01,"all",1627839601,0.333611111111111,0.2874,0.861482098251457,"Increase"
"2021-8-1","NAPL",2021,8,1,14,0,"08-01","08-01_14",16.2211,2021-08-01 14:00:02,"all",1627840802,0.333611111111111,0.3507,1.05122398001665,"Increase"
"2021-8-1","NAPL",2021,8,1,14,20,"08-01","08-01_14",16.5245,2021-08-01 14:20:03,"all",1627842003,0.333611111111111,0.3034,0.909442131557036,"Increase"
