"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2020-7-10","NAPL",2020,7,10,17,20,"07-10","07-10_17",15.0837,2020-07-10 17:20:03,"all",1594416003,0.333611111111111,-0.149699999999999,-0.448726061615318,"Increase"
"2020-7-10","NAPL",2020,7,10,17,39,"07-10","07-10_17",15.0863,2020-07-10 17:39:56,"all",1594417196,0.331388888888889,0.00259999999999927,0.00784576697401288,"Increase"
"2020-7-10","NAPL",2020,7,10,17,59,"07-10","07-10_17",15.3673,2020-07-10 17:59:57,"all",1594418397,0.333611111111111,0.281000000000001,0.842298084929227,"Increase"
"2020-7-10","NAPL",2020,7,10,18,19,"07-10","07-10_18",15.6202,2020-07-10 18:19:58,"all",1594419598,0.333611111111111,0.2529,0.758068276436304,"Increase"
"2020-7-10","NAPL",2020,7,10,18,39,"07-10","07-10_18",15.5468,2020-07-10 18:39:59,"all",1594420799,0.333611111111111,-0.0734000000000012,-0.220016652789346,"Increase"
"2020-7-10","NAPL",2020,7,10,19,0,"07-10","07-10_19",15.3456,2020-07-10 19:00:00,"all",1594422000,0.333611111111111,-0.2012,-0.603097418817652,"Increase"
"2020-7-10","NAPL",2020,7,10,19,20,"07-10","07-10_19",15.3582,2020-07-10 19:20:00,"all",1594423200,0.333333333333333,0.0126000000000008,0.0378000000000025,"Increase"
"2020-7-10","NAPL",2020,7,10,19,40,"07-10","07-10_19",15.5057,2020-07-10 19:40:01,"all",1594424401,0.333611111111111,0.147499999999999,0.442131557035801,"Increase"
"2020-7-10","NAPL",2020,7,10,20,0,"07-10","07-10_20",15.4886,2020-07-10 20:00:02,"all",1594425602,0.333611111111111,-0.0170999999999992,-0.0512572855953349,"Increase"
"2020-7-10","NAPL",2020,7,10,20,20,"07-10","07-10_20",15.435,2020-07-10 20:20:03,"all",1594426803,0.333611111111111,-0.0535999999999994,-0.160666111573687,"Increase"
"2020-7-10","NAPL",2020,7,10,20,39,"07-10","07-10_20",15.7973,2020-07-10 20:39:56,"all",1594427996,0.331388888888889,0.362299999999999,1.09327745180218,"Increase"
