"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2016-6-1","NAPL",2016,6,1,1,0,"06-01","06-01_1",15.0441,2016-06-01 01:00:00,"all",1464757200,NA,NA,NA
"2016-6-1","NAPL",2016,6,1,1,20,"06-01","06-01_1",15.0048,2016-06-01 01:20:00,"all",1464758400,0.333333333333333,-0.0393000000000008,-0.117900000000002
"2016-6-1","NAPL",2016,6,1,1,40,"06-01","06-01_1",15.0264,2016-06-01 01:40:01,"all",1464759601,0.333611111111111,0.0216000000000012,0.0647460449625347
"2016-6-1","NAPL",2016,6,1,2,0,"06-01","06-01_2",15.0834,2016-06-01 02:00:02,"all",1464760802,0.333611111111111,0.0569999999999986,0.17085761865112
"2016-6-1","NAPL",2016,6,1,2,20,"06-01","06-01_2",15.1763,2016-06-01 02:20:03,"all",1464762003,0.333611111111111,0.0929000000000002,0.278467943380517
"2016-6-1","NAPL",2016,6,1,2,39,"06-01","06-01_2",15.345,2016-06-01 02:39:56,"all",1464763196,0.331388888888889,0.168700000000001,0.50906957250629
"2016-6-1","NAPL",2016,6,1,2,59,"06-01","06-01_2",15.4334,2016-06-01 02:59:57,"all",1464764397,0.333611111111111,0.0884,0.264979184013322
"2016-6-1","NAPL",2016,6,1,3,19,"06-01","06-01_3",15.2915,2016-06-01 03:19:58,"all",1464765598,0.333611111111111,-0.141900000000001,-0.425345545378855
"2016-6-1","NAPL",2016,6,1,3,39,"06-01","06-01_3",15.0393,2016-06-01 03:39:59,"all",1464766799,0.333611111111111,-0.252199999999998,-0.755970024979179
"2016-6-1","NAPL",2016,6,1,4,0,"06-01","06-01_4",14.8758,2016-06-01 04:00:00,"all",1464768000,0.333611111111111,-0.163500000000001,-0.490091590341385
"2016-6-1","NAPL",2016,6,1,4,20,"06-01","06-01_4",14.8533,2016-06-01 04:20:00,"all",1464769200,0.333333333333333,-0.0224999999999991,-0.0674999999999972
"2016-6-1","NAPL",2016,6,1,4,40,"06-01","06-01_4",14.8792,2016-06-01 04:40:01,"all",1464770401,0.333611111111111,0.0259,0.0776353039134056
"2016-6-1","NAPL",2016,6,1,5,0,"06-01","06-01_5",14.8444,2016-06-01 05:00:02,"all",1464771602,0.333611111111111,-0.0348000000000006,-0.104313072439635
"2016-6-1","NAPL",2016,6,1,5,20,"06-01","06-01_5",14.7547,2016-06-01 05:20:03,"all",1464772803,0.333611111111111,-0.0897000000000006,-0.268875936719402
"2016-6-1","NAPL",2016,6,1,5,39,"06-01","06-01_5",14.7336,2016-06-01 05:39:56,"all",1464773996,0.331388888888889,-0.0211000000000006,-0.0636714165968165
"2016-6-1","NAPL",2016,6,1,5,59,"06-01","06-01_5",14.7971,2016-06-01 05:59:57,"all",1464775197,0.333611111111111,0.0635000000000012,0.190341382181519
"2016-6-1","NAPL",2016,6,1,6,19,"06-01","06-01_6",14.8078,2016-06-01 06:19:58,"all",1464776398,0.333611111111111,0.0106999999999999,0.0320732722731055
"2016-6-1","NAPL",2016,6,1,6,39,"06-01","06-01_6",14.7554,2016-06-01 06:39:59,"all",1464777599,0.333611111111111,-0.0524000000000004,-0.157069109075772
"2016-6-1","NAPL",2016,6,1,7,0,"06-01","06-01_7",14.7134,2016-06-01 07:00:00,"all",1464778800,0.333611111111111,-0.0419999999999998,-0.125895087427144
"2016-6-1","NAPL",2016,6,1,7,20,"06-01","06-01_7",14.6842,2016-06-01 07:20:00,"all",1464780000,0.333333333333333,-0.0291999999999994,-0.0875999999999983
"2016-6-1","NAPL",2016,6,1,7,40,"06-01","06-01_7",14.7972,2016-06-01 07:40:01,"all",1464781201,0.333611111111111,0.113,0.338717735220648
"2016-6-1","NAPL",2016,6,1,8,0,"06-01","06-01_8",15.0631,2016-06-01 08:00:02,"all",1464782402,0.333611111111111,0.2659,0.797035803497087
"2016-6-1","NAPL",2016,6,1,8,20,"06-01","06-01_8",15.1574,2016-06-01 08:20:03,"all",1464783603,0.333611111111111,0.0943000000000005,0.282664446294756
"2016-6-1","NAPL",2016,6,1,8,39,"06-01","06-01_8",14.9228,2016-06-01 08:39:56,"all",1464784796,0.331388888888889,-0.2346,-0.707929589270747
"2016-6-1","NAPL",2016,6,1,8,59,"06-01","06-01_8",14.6916,2016-06-01 08:59:57,"all",1464785997,0.333611111111111,-0.231200000000001,-0.693022481265616
"2016-6-1","NAPL",2016,6,1,9,19,"06-01","06-01_9",14.6717,2016-06-01 09:19:58,"all",1464787198,0.333611111111111,-0.0198999999999998,-0.0596502914238129
"2016-6-1","NAPL",2016,6,1,9,39,"06-01","06-01_9",14.8032,2016-06-01 09:39:59,"all",1464788399,0.333611111111111,0.131500000000001,0.394171523730227
"2016-6-1","NAPL",2016,6,1,10,0,"06-01","06-01_10",14.9686,2016-06-01 10:00:00,"all",1464789600,0.333611111111111,0.1654,0.49578684429642
"2016-6-1","NAPL",2016,6,1,10,20,"06-01","06-01_10",14.9853,2016-06-01 10:20:00,"all",1464790800,0.333333333333333,0.0167000000000002,0.0501000000000005
"2016-6-1","NAPL",2016,6,1,10,40,"06-01","06-01_10",14.946,2016-06-01 10:40:01,"all",1464792001,0.333611111111111,-0.0393000000000008,-0.11780183180683
"2016-6-1","NAPL",2016,6,1,11,0,"06-01","06-01_11",14.8651,2016-06-01 11:00:02,"all",1464793202,0.333611111111111,-0.0808999999999997,-0.242497918401332
"2016-6-1","NAPL",2016,6,1,11,20,"06-01","06-01_11",14.6865,2016-06-01 11:20:03,"all",1464794403,0.333611111111111,-0.178599999999999,-0.53535387177352
"2016-6-1","NAPL",2016,6,1,11,39,"06-01","06-01_11",14.7076,2016-06-01 11:39:56,"all",1464795596,0.331388888888889,0.0210999999999988,0.0636714165968111
"2016-6-1","NAPL",2016,6,1,11,59,"06-01","06-01_11",14.8794,2016-06-01 11:59:57,"all",1464796797,0.333611111111111,0.171800000000001,0.514970857618654
"2016-6-1","NAPL",2016,6,1,12,19,"06-01","06-01_12",14.8449,2016-06-01 12:19:58,"all",1464797998,0.333611111111111,-0.0344999999999995,-0.103413821815153
"2016-6-1","NAPL",2016,6,1,12,39,"06-01","06-01_12",14.7053,2016-06-01 12:39:59,"all",1464799199,0.333611111111111,-0.139600000000002,-0.418451290591179
"2016-6-1","NAPL",2016,6,1,13,0,"06-01","06-01_13",14.6342,2016-06-01 13:00:00,"all",1464800400,0.333611111111111,-0.0710999999999995,-0.213122398001664
"2016-6-1","NAPL",2016,6,1,13,20,"06-01","06-01_13",14.6703,2016-06-01 13:20:00,"all",1464801600,0.333333333333333,0.0360999999999994,0.108299999999998
"2016-6-1","NAPL",2016,6,1,13,40,"06-01","06-01_13",14.7707,2016-06-01 13:40:01,"all",1464802801,0.333611111111111,0.1004,0.300949208992508
"2016-6-1","NAPL",2016,6,1,14,0,"06-01","06-01_14",14.7349,2016-06-01 14:00:02,"all",1464804002,0.333611111111111,-0.0358000000000001,-0.107310574521232
"2016-6-1","NAPL",2016,6,1,14,20,"06-01","06-01_14",14.4848,2016-06-01 14:20:03,"all",1464805203,0.333611111111111,-0.2501,-0.749675270607826
