"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2020-9-1","NAPL",2020,9,1,1,0,"09-01","09-01_1",18.8863,2020-09-01 01:00:00,"all",1598936400,NA,NA,NA
"2020-9-1","NAPL",2020,9,1,1,20,"09-01","09-01_1",19.0069,2020-09-01 01:20:00,"all",1598937600,0.333333333333333,0.120600000000003,0.361800000000009
"2020-9-1","NAPL",2020,9,1,1,40,"09-01","09-01_1",19.0135,2020-09-01 01:40:01,"all",1598938801,0.333611111111111,0.00659999999999883,0.0197835137385477
"2020-9-1","NAPL",2020,9,1,2,0,"09-01","09-01_2",18.9135,2020-09-01 02:00:02,"all",1598940002,0.333611111111111,-0.100000000000001,-0.299750208159871
"2020-9-1","NAPL",2020,9,1,2,20,"09-01","09-01_2",18.9274,2020-09-01 02:20:03,"all",1598941203,0.333611111111111,0.0138999999999996,0.0416652789342202
"2020-9-1","NAPL",2020,9,1,2,39,"09-01","09-01_2",18.9572,2020-09-01 02:39:56,"all",1598942396,0.331388888888889,0.0298000000000016,0.089924559932947
"2020-9-1","NAPL",2020,9,1,2,59,"09-01","09-01_2",18.8312,2020-09-01 02:59:57,"all",1598943597,0.333611111111111,-0.126000000000001,-0.377685262281436
"2020-9-1","NAPL",2020,9,1,3,19,"09-01","09-01_3",18.8392,2020-09-01 03:19:58,"all",1598944798,0.333611111111111,0.00800000000000267,0.0239800166527974
"2020-9-1","NAPL",2020,9,1,3,39,"09-01","09-01_3",18.8989,2020-09-01 03:39:59,"all",1598945999,0.333611111111111,0.0596999999999994,0.178950874271439
"2020-9-1","NAPL",2020,9,1,4,0,"09-01","09-01_4",18.6602,2020-09-01 04:00:00,"all",1598947200,0.333611111111111,-0.238700000000001,-0.715503746877606
"2020-9-1","NAPL",2020,9,1,4,20,"09-01","09-01_4",18.4536,2020-09-01 04:20:00,"all",1598948400,0.333333333333333,-0.206599999999998,-0.619799999999994
"2020-9-1","NAPL",2020,9,1,4,40,"09-01","09-01_4",18.5001,2020-09-01 04:40:01,"all",1598949601,0.333611111111111,0.0464999999999982,0.139383846794333
"2020-9-1","NAPL",2020,9,1,5,0,"09-01","09-01_5",18.4152,2020-09-01 05:00:02,"all",1598950802,0.333611111111111,-0.0849000000000011,-0.25448792672773
"2020-9-1","NAPL",2020,9,1,5,20,"09-01","09-01_5",18.2479,2020-09-01 05:20:03,"all",1598952003,0.333611111111111,-0.167299999999997,-0.501482098251449
"2020-9-1","NAPL",2020,9,1,5,39,"09-01","09-01_5",18.2601,2020-09-01 05:39:56,"all",1598953196,0.331388888888889,0.0122,0.0368147527242246
"2020-9-1","NAPL",2020,9,1,5,59,"09-01","09-01_5",18.3545,2020-09-01 05:59:57,"all",1598954397,0.333611111111111,0.0944000000000003,0.282964196502915
"2020-9-1","NAPL",2020,9,1,6,19,"09-01","09-01_6",18.4585,2020-09-01 06:19:58,"all",1598955598,0.333611111111111,0.103999999999999,0.311740216486259
