"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2018-8-31","NAPL",2018,8,31,16,0,"08-31","08-31_16",15.6696,2018-08-31 16:00:00,"all",1535745600,0.333611111111111,-0.1609,-0.482298084929225,"Increase"
"2018-8-31","NAPL",2018,8,31,16,20,"08-31","08-31_16",15.6249,2018-08-31 16:20:00,"all",1535746800,0.333333333333333,-0.0447000000000006,-0.134100000000002,"Increase"
"2018-8-31","NAPL",2018,8,31,16,40,"08-31","08-31_16",15.7779,2018-08-31 16:40:01,"all",1535748001,0.333611111111111,0.153,0.458617818484598,"Increase"
"2018-8-31","NAPL",2018,8,31,17,0,"08-31","08-31_17",16.0669,2018-08-31 17:00:02,"all",1535749202,0.333611111111111,0.289,0.866278101582014,"Increase"
"2018-8-31","NAPL",2018,8,31,17,20,"08-31","08-31_17",16.152,2018-08-31 17:20:03,"all",1535750403,0.333611111111111,0.0851000000000006,0.255087427144049,"Increase"
"2018-8-31","NAPL",2018,8,31,17,39,"08-31","08-31_17",16.2302,2018-08-31 17:39:56,"all",1535751596,0.331388888888889,0.0781999999999989,0.235976529756912,"Increase"
"2018-8-31","NAPL",2018,8,31,17,59,"08-31","08-31_17",16.2006,2018-08-31 17:59:57,"all",1535752797,0.333611111111111,-0.0295999999999985,-0.0887260616153161,"Increase"
"2018-8-31","NAPL",2018,8,31,18,19,"08-31","08-31_18",16.1175,2018-08-31 18:19:58,"all",1535753998,0.333611111111111,-0.0831000000000017,-0.249092422980854,"Increase"
"2018-8-31","NAPL",2018,8,31,18,39,"08-31","08-31_18",16.1883,2018-08-31 18:39:59,"all",1535755199,0.333611111111111,0.070800000000002,0.212223147377192,"Increase"
"2018-8-31","NAPL",2018,8,31,19,0,"08-31","08-31_19",16.0672,2018-08-31 19:00:00,"all",1535756400,0.333611111111111,-0.121100000000002,-0.362997502081605,"Increase"
"2018-8-31","NAPL",2018,8,31,19,20,"08-31","08-31_19",16.04,2018-08-31 19:20:00,"all",1535757600,0.333333333333333,-0.0272000000000006,-0.0816000000000017,"Increase"
"2018-8-31","NAPL",2018,8,31,19,40,"08-31","08-31_19",16.9294,2018-08-31 19:40:01,"all",1535758801,0.333611111111111,0.889400000000002,2.66597835137386,"targetUP"
"2018-8-31","NAPL",2018,8,31,20,0,"08-31","08-31_20",18.4161,2018-08-31 20:00:02,"all",1535760002,0.333611111111111,1.4867,4.45638634471274,"targetUP"
"2018-8-31","NAPL",2018,8,31,20,20,"08-31","08-31_20",19.439,2018-08-31 20:20:03,"all",1535761203,0.333611111111111,1.0229,3.06614487926728,"targetUP"
"2018-8-31","NAPL",2018,8,31,20,39,"08-31","08-31_20",19.6212,2018-08-31 20:39:56,"all",1535762396,0.331388888888889,0.182200000000002,0.549807208717524,"Increase"
"2018-8-31","NAPL",2018,8,31,20,59,"08-31","08-31_20",19.4748,2018-08-31 20:59:57,"all",1535763597,0.333611111111111,-0.146400000000003,-0.438834304746055,"Increase"
"2018-8-31","NAPL",2018,8,31,21,19,"08-31","08-31_21",19.4569,2018-08-31 21:19:58,"all",1535764798,0.333611111111111,-0.0178999999999974,-0.0536552872606083,"Increase"
"2018-8-31","NAPL",2018,8,31,21,39,"08-31","08-31_21",19.5359,2018-08-31 21:39:59,"all",1535765999,0.333611111111111,0.0790000000000006,0.236802664446297,"Increase"
"2018-8-31","NAPL",2018,8,31,22,0,"08-31","08-31_22",19.6919,2018-08-31 22:00:00,"all",1535767200,0.333611111111111,0.155999999999999,0.467610324729389,"Increase"
"2018-8-31","NAPL",2018,8,31,22,20,"08-31","08-31_22",19.7051,2018-08-31 22:20:00,"all",1535768400,0.333333333333333,0.0132000000000012,0.0396000000000036,"Increase"
"2018-8-31","NAPL",2018,8,31,22,40,"08-31","08-31_22",19.5832,2018-08-31 22:40:01,"all",1535769601,0.333611111111111,-0.1219,-0.365395503746878,"Increase"
"2018-8-31","NAPL",2018,8,31,23,0,"08-31","08-31_23",19.5911,2018-08-31 23:00:02,"all",1535770802,0.333611111111111,0.00789999999999935,0.0236802664446275,"Increase"
"2018-8-31","NAPL",2018,8,31,23,20,"08-31","08-31_23",19.6985,2018-08-31 23:20:03,"all",1535772003,0.333611111111111,0.107399999999998,0.321931723563692,"Increase"
"2018-8-31","NAPL",2018,8,31,23,39,"08-31","08-31_23",19.9249,2018-08-31 23:39:56,"all",1535773196,0.331388888888889,0.226400000000002,0.68318524727578,"Increase"
"2018-8-14","NAPL",2018,8,14,2,59,"08-14","08-14_2",22.3516,2018-08-14 02:59:57,"all",1534229997,0.333611111111111,0.212300000000003,0.636369691923405,"Decrease"
"2018-8-14","NAPL",2018,8,14,3,19,"08-14","08-14_3",22.5548,2018-08-14 03:19:58,"all",1534231198,0.333611111111111,0.203199999999999,0.609092422980846,"Decrease"
"2018-8-14","NAPL",2018,8,14,3,39,"08-14","08-14_3",22.6048,2018-08-14 03:39:59,"all",1534232399,0.333611111111111,0.0500000000000007,0.149875104079936,"Decrease"
"2018-8-14","NAPL",2018,8,14,4,0,"08-14","08-14_4",22.577,2018-08-14 04:00:00,"all",1534233600,0.333611111111111,-0.0277999999999992,-0.0833305578684404,"Decrease"
"2018-8-14","NAPL",2018,8,14,4,20,"08-14","08-14_4",22.4839,2018-08-14 04:20:00,"all",1534234800,0.333333333333333,-0.0931000000000033,-0.27930000000001,"Decrease"
"2018-8-14","NAPL",2018,8,14,4,40,"08-14","08-14_4",22.3943,2018-08-14 04:40:01,"all",1534236001,0.333611111111111,-0.0895999999999972,-0.268576186511232,"Decrease"
"2018-8-14","NAPL",2018,8,14,5,0,"08-14","08-14_5",22.523,2018-08-14 05:00:02,"all",1534237202,0.333611111111111,0.128699999999998,0.385778517901744,"Decrease"
"2018-8-14","NAPL",2018,8,14,5,20,"08-14","08-14_5",22.6769,2018-08-14 05:20:03,"all",1534238403,0.333611111111111,0.1539,0.461315570358035,"Decrease"
"2018-8-14","NAPL",2018,8,14,5,39,"08-14","08-14_5",22.4628,2018-08-14 05:39:56,"all",1534239596,0.331388888888889,-0.214099999999998,-0.646068734283315,"Decrease"
"2018-8-14","NAPL",2018,8,14,5,59,"08-14","08-14_5",22.3069,2018-08-14 05:59:57,"all",1534240797,0.333611111111111,-0.155900000000003,-0.46731057452124,"Decrease"
"2018-8-14","NAPL",2018,8,14,6,19,"08-14","08-14_6",22.4081,2018-08-14 06:19:58,"all",1534241998,0.333611111111111,0.101200000000002,0.303347210657792,"Decrease"
"2018-8-14","NAPL",2018,8,14,6,39,"08-14","08-14_6",21.3078,2018-08-14 06:39:59,"all",1534243199,0.333611111111111,-1.1003,-3.29815154038302,"targetDOWN"
"2018-8-14","NAPL",2018,8,14,7,0,"08-14","08-14_7",18.9599,2018-08-14 07:00:00,"all",1534244400,0.333611111111111,-2.3479,-7.03783513738551,"targetDOWN"
"2018-8-14","NAPL",2018,8,14,7,20,"08-14","08-14_7",18.0541,2018-08-14 07:20:00,"all",1534245600,0.333333333333333,-0.905800000000003,-2.71740000000001,"targetDOWN"
"2018-8-14","NAPL",2018,8,14,7,40,"08-14","08-14_7",19.1418,2018-08-14 07:40:01,"all",1534246801,0.333611111111111,1.0877,3.26038301415488,"Decrease"
"2018-8-14","NAPL",2018,8,14,8,0,"08-14","08-14_8",19.529,2018-08-14 08:00:02,"all",1534248002,0.333611111111111,0.3872,1.160632805995,"Decrease"
"2018-8-14","NAPL",2018,8,14,8,20,"08-14","08-14_8",18.7984,2018-08-14 08:20:03,"all",1534249203,0.333611111111111,-0.730599999999999,-2.18997502081598,"targetDOWN"
