"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2021-6-13","NAPL",2021,6,13,7,40,"06-13","06-13_7",15.3197,2021-06-13 07:40:01,"all",1623584401,0.333611111111111,0.0145,0.0434637801831806,"Increase"
"2021-6-13","NAPL",2021,6,13,8,0,"06-13","06-13_8",14.9194,2021-06-13 08:00:02,"all",1623585602,0.333611111111111,-0.4003,-1.19990008326395,"Increase"
"2021-6-13","NAPL",2021,6,13,8,20,"06-13","06-13_8",14.4858,2021-06-13 08:20:03,"all",1623586803,0.333611111111111,-0.4336,-1.29971690258118,"Increase"
"2021-6-13","NAPL",2021,6,13,8,39,"06-13","06-13_8",14.3273,2021-06-13 08:39:56,"all",1623587996,0.331388888888889,-0.1585,-0.478290025146689,"Increase"
"2021-6-13","NAPL",2021,6,13,8,59,"06-13","06-13_8",14.3558,2021-06-13 08:59:57,"all",1623589197,0.333611111111111,0.0285000000000011,0.0854288093255653,"Increase"
"2021-6-13","NAPL",2021,6,13,9,19,"06-13","06-13_9",14.4416,2021-06-13 09:19:58,"all",1623590398,0.333611111111111,0.085799999999999,0.257185678601163,"Increase"
"2021-6-13","NAPL",2021,6,13,9,39,"06-13","06-13_9",14.4585,2021-06-13 09:39:59,"all",1623591599,0.333611111111111,0.0169000000000015,0.0506577851790219,"Increase"
"2021-6-13","NAPL",2021,6,13,10,0,"06-13","06-13_10",14.4724,2021-06-13 10:00:00,"all",1623592800,0.333611111111111,0.0138999999999996,0.0416652789342202,"Increase"
"2021-6-13","NAPL",2021,6,13,10,20,"06-13","06-13_10",14.6012,2021-06-13 10:20:00,"all",1623594000,0.333333333333333,0.1288,0.3864,"Increase"
"2021-6-13","NAPL",2021,6,13,10,40,"06-13","06-13_10",14.7024,2021-06-13 10:40:01,"all",1623595201,0.333611111111111,0.1012,0.303347210657786,"Increase"
"2021-6-13","NAPL",2021,6,13,11,0,"06-13","06-13_11",14.9325,2021-06-13 11:00:02,"all",1623596402,0.333611111111111,0.230099999999998,0.689725228975849,"Increase"
"2021-6-13","NAPL",2021,6,13,11,20,"06-13","06-13_11",15.6778,2021-06-13 11:20:03,"all",1623597603,0.333611111111111,0.7453,2.23403830141549,"targetUP"
"2021-6-13","NAPL",2021,6,13,11,39,"06-13","06-13_11",16.3803,2021-06-13 11:39:56,"all",1623598796,0.331388888888889,0.702499999999999,2.11986588432523,"targetUP"
"2021-6-13","NAPL",2021,6,13,11,59,"06-13","06-13_11",16.4687,2021-06-13 11:59:57,"all",1623599997,0.333611111111111,0.0884,0.264979184013322,"Increase"
"2021-6-13","NAPL",2021,6,13,12,19,"06-13","06-13_12",16.3414,2021-06-13 12:19:58,"all",1623601198,0.333611111111111,-0.127299999999998,-0.381582014987505,"Increase"
"2021-6-13","NAPL",2021,6,13,12,39,"06-13","06-13_12",16.2695,2021-06-13 12:39:59,"all",1623602399,0.333611111111111,-0.0718999999999994,-0.215520399666942,"Increase"
"2021-6-13","NAPL",2021,6,13,13,0,"06-13","06-13_13",16.1584,2021-06-13 13:00:00,"all",1623603600,0.333611111111111,-0.1111,-0.333022481265613,"Increase"
"2021-6-13","NAPL",2021,6,13,13,20,"06-13","06-13_13",16.0121,2021-06-13 13:20:00,"all",1623604800,0.333333333333333,-0.1463,-0.4389,"Increase"
"2021-6-13","NAPL",2021,6,13,13,40,"06-13","06-13_13",15.9076,2021-06-13 13:40:01,"all",1623606001,0.333611111111111,-0.1045,-0.31323896752706,"Increase"
"2021-6-13","NAPL",2021,6,13,14,0,"06-13","06-13_14",15.8398,2021-06-13 14:00:02,"all",1623607202,0.333611111111111,-0.0678000000000001,-0.20323064113239,"Increase"
"2021-6-13","NAPL",2021,6,13,14,20,"06-13","06-13_14",15.7859,2021-06-13 14:20:03,"all",1623608403,0.333611111111111,-0.0539000000000005,-0.16156536219817,"Increase"
"2021-6-13","NAPL",2021,6,13,14,39,"06-13","06-13_14",15.752,2021-06-13 14:39:56,"all",1623609596,0.331388888888889,-0.0338999999999992,-0.102296730930425,"Increase"
"2021-6-13","NAPL",2021,6,13,14,59,"06-13","06-13_14",15.743,2021-06-13 14:59:57,"all",1623610797,0.333611111111111,-0.00900000000000034,-0.026977518734389,"Increase"
"2021-6-12","NAPL",2021,6,12,5,0,"06-12","06-12_5",15.579,2021-06-12 05:00:02,"all",1623488402,0.333611111111111,-0.0427999999999997,-0.128293089092422,"Decrease"
"2021-6-12","NAPL",2021,6,12,5,20,"06-12","06-12_5",15.5131,2021-06-12 05:20:03,"all",1623489603,0.333611111111111,-0.065900000000001,-0.197535387177355,"Decrease"
