"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2019-5-1","NAPL",2019,5,1,1,0,"05-01","05-01_1",14.7839,2019-05-01 01:00:00,"all",1556686800,NA,NA,NA
"2019-5-1","NAPL",2019,5,1,1,20,"05-01","05-01_1",14.3209,2019-05-01 01:20:00,"all",1556688000,0.333333333333333,-0.462999999999999,-1.389
"2019-5-1","NAPL",2019,5,1,1,40,"05-01","05-01_1",13.8734,2019-05-01 01:40:01,"all",1556689201,0.333611111111111,-0.4475,-1.3413821815154
"2019-5-1","NAPL",2019,5,1,2,0,"05-01","05-01_2",13.6603,2019-05-01 02:00:02,"all",1556690402,0.333611111111111,-0.213100000000001,-0.638767693588678
"2019-5-1","NAPL",2019,5,1,2,20,"05-01","05-01_2",13.5224,2019-05-01 02:20:03,"all",1556691603,0.333611111111111,-0.1379,-0.413355537052457
"2019-5-1","NAPL",2019,5,1,2,39,"05-01","05-01_2",13.3981,2019-05-01 02:39:56,"all",1556692796,0.331388888888889,-0.1243,-0.375088013411567
"2019-5-1","NAPL",2019,5,1,2,59,"05-01","05-01_2",13.3411,2019-05-01 02:59:57,"all",1556693997,0.333611111111111,-0.0569999999999986,-0.17085761865112
"2019-5-1","NAPL",2019,5,1,3,19,"05-01","05-01_3",13.2862,2019-05-01 03:19:58,"all",1556695198,0.333611111111111,-0.0549000000000017,-0.164562864279772
"2019-5-1","NAPL",2019,5,1,3,39,"05-01","05-01_3",13.2182,2019-05-01 03:39:59,"all",1556696399,0.333611111111111,-0.0679999999999996,-0.203830141548708
"2019-5-1","NAPL",2019,5,1,4,0,"05-01","05-01_4",13.174,2019-05-01 04:00:00,"all",1556697600,0.333611111111111,-0.0442,-0.132489592006661
"2019-5-1","NAPL",2019,5,1,4,20,"05-01","05-01_4",13.1209,2019-05-01 04:20:00,"all",1556698800,0.333333333333333,-0.0530999999999988,-0.159299999999996
"2019-5-1","NAPL",2019,5,1,4,40,"05-01","05-01_4",13.0515,2019-05-01 04:40:01,"all",1556700001,0.333611111111111,-0.0693999999999999,-0.208026644462947
"2019-5-1","NAPL",2019,5,1,5,0,"05-01","05-01_5",13.0073,2019-05-01 05:00:02,"all",1556701202,0.333611111111111,-0.0442,-0.132489592006661
"2019-5-1","NAPL",2019,5,1,5,20,"05-01","05-01_5",12.9864,2019-05-01 05:20:03,"all",1556702403,0.333611111111111,-0.020900000000001,-0.0626477935054152
