"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2019-8-1","NAPL",2019,8,1,0,39,"08-02","08-02_0",17.8147,2019-08-02 00:39:59,"all",1564720799,0.333611111111111,-0.656700000000001,-1.96845961698585,"Increase"
"2019-8-2","NAPL",2019,8,2,1,0,"08-02","08-02_1",16.7954,2019-08-02 01:00:00,"all",1564722000,0.333611111111111,-1.0193,-3.05535387177352,"Increase"
"2019-8-2","NAPL",2019,8,2,1,20,"08-02","08-02_1",16.4163,2019-08-02 01:20:00,"all",1564723200,0.333333333333333,-0.379100000000001,-1.1373,"Increase"
"2019-8-2","NAPL",2019,8,2,1,40,"08-02","08-02_1",16.3028,2019-08-02 01:40:01,"all",1564724401,0.333611111111111,-0.113499999999998,-0.340216486261444,"Increase"
"2019-8-2","NAPL",2019,8,2,2,0,"08-02","08-02_2",16.0114,2019-08-02 02:00:02,"all",1564725602,0.333611111111111,-0.291400000000003,-0.873472106577861,"Increase"
"2019-8-2","NAPL",2019,8,2,2,20,"08-02","08-02_2",15.7943,2019-08-02 02:20:03,"all",1564726803,0.333611111111111,-0.217099999999999,-0.650757701915066,"Increase"
"2019-8-2","NAPL",2019,8,2,2,39,"08-02","08-02_2",15.7179,2019-08-02 02:39:56,"all",1564727996,0.331388888888889,-0.0763999999999996,-0.23054484492875,"Increase"
"2019-8-2","NAPL",2019,8,2,2,59,"08-02","08-02_2",15.7232,2019-08-02 02:59:57,"all",1564729197,0.333611111111111,0.00530000000000008,0.0158867610324732,"Increase"
"2019-8-2","NAPL",2019,8,2,3,19,"08-02","08-02_3",15.6456,2019-08-02 03:19:58,"all",1564730398,0.333611111111111,-0.0776000000000003,-0.232606161532058,"Increase"
"2019-8-2","NAPL",2019,8,2,3,39,"08-02","08-02_3",15.4687,2019-08-02 03:39:59,"all",1564731599,0.333611111111111,-0.1769,-0.530258118234804,"Increase"
"2019-8-2","NAPL",2019,8,2,4,0,"08-02","08-02_4",15.4964,2019-08-02 04:00:00,"all",1564732800,0.333611111111111,0.0276999999999994,0.0830308076602813,"Increase"
"2019-8-2","NAPL",2019,8,2,4,20,"08-02","08-02_4",16.2069,2019-08-02 04:20:00,"all",1564734000,0.333333333333333,0.710500000000001,2.1315,"targetUP"
"2019-8-2","NAPL",2019,8,2,4,40,"08-02","08-02_4",17.0723,2019-08-02 04:40:01,"all",1564735201,0.333611111111111,0.865399999999998,2.59403830141548,"targetUP"
"2019-8-2","NAPL",2019,8,2,5,0,"08-02","08-02_5",17.0856,2019-08-02 05:00:02,"all",1564736402,0.333611111111111,0.013300000000001,0.0398667776852652,"Increase"
"2019-8-2","NAPL",2019,8,2,5,20,"08-02","08-02_5",16.4554,2019-08-02 05:20:03,"all",1564737603,0.333611111111111,-0.630199999999999,-1.88902581182348,"Increase"
"2019-8-2","NAPL",2019,8,2,5,39,"08-02","08-02_5",16.0312,2019-08-02 05:39:56,"all",1564738796,0.331388888888889,-0.424200000000003,-1.28006705783739,"Increase"
"2019-8-2","NAPL",2019,8,2,5,59,"08-02","08-02_5",16.0704,2019-08-02 05:59:57,"all",1564739997,0.333611111111111,0.039200000000001,0.117502081598671,"Increase"
"2019-8-2","NAPL",2019,8,2,6,19,"08-02","08-02_6",16.1606,2019-08-02 06:19:58,"all",1564741198,0.333611111111111,0.0901999999999994,0.270374687760198,"Increase"
"2019-8-2","NAPL",2019,8,2,6,39,"08-02","08-02_6",15.9867,2019-08-02 06:39:59,"all",1564742399,0.333611111111111,-0.173899999999998,-0.521265611990002,"Increase"
"2019-8-2","NAPL",2019,8,2,7,0,"08-02","08-02_7",15.6535,2019-08-02 07:00:00,"all",1564743600,0.333611111111111,-0.333200000000001,-0.998767693588681,"Increase"
"2019-8-2","NAPL",2019,8,2,7,20,"08-02","08-02_7",15.4882,2019-08-02 07:20:00,"all",1564744800,0.333333333333333,-0.165299999999998,-0.495899999999995,"Increase"
"2019-8-2","NAPL",2019,8,2,7,40,"08-02","08-02_7",15.6321,2019-08-02 07:40:01,"all",1564746001,0.333611111111111,0.143899999999999,0.431340549542044,"Increase"
"2019-8-2","NAPL",2019,8,2,8,0,"08-02","08-02_8",15.9552,2019-08-02 08:00:02,"all",1564747202,0.333611111111111,0.3231,0.96849292256453,"Increase"
"2019-8-31","NAPL",2019,8,31,1,0,"08-31","08-31_1",19.1441,2019-08-31 01:00:00,"all",1567227600,0.333611111111111,0.0687000000000033,0.205928393005838,"Decrease"
"2019-8-31","NAPL",2019,8,31,1,20,"08-31","08-31_1",19.2228,2019-08-31 01:20:00,"all",1567228800,0.333333333333333,0.0786999999999978,0.236099999999993,"Decrease"
"2019-8-31","NAPL",2019,8,31,1,40,"08-31","08-31_1",19.2993,2019-08-31 01:40:01,"all",1567230001,0.333611111111111,0.0764999999999993,0.229308909242296,"Decrease"
"2019-8-31","NAPL",2019,8,31,2,0,"08-31","08-31_2",19.3922,2019-08-31 02:00:02,"all",1567231202,0.333611111111111,0.0929000000000002,0.278467943380517,"Decrease"
"2019-8-31","NAPL",2019,8,31,2,20,"08-31","08-31_2",19.3987,2019-08-31 02:20:03,"all",1567232403,0.333611111111111,0.00650000000000261,0.0194837635303992,"Decrease"
"2019-8-31","NAPL",2019,8,31,2,39,"08-31","08-31_2",19.2319,2019-08-31 02:39:56,"all",1567233596,0.331388888888889,-0.166800000000002,-0.503336127409897,"Decrease"
"2019-8-31","NAPL",2019,8,31,2,59,"08-31","08-31_2",19.0951,2019-08-31 02:59:57,"all",1567234797,0.333611111111111,-0.136800000000001,-0.410058284762701,"Decrease"
"2019-8-31","NAPL",2019,8,31,3,19,"08-31","08-31_3",19.0777,2019-08-31 03:19:58,"all",1567235998,0.333611111111111,-0.0173999999999985,-0.0521565362198124,"Decrease"
"2019-8-31","NAPL",2019,8,31,3,39,"08-31","08-31_3",19.0714,2019-08-31 03:39:59,"all",1567237199,0.333611111111111,-0.00629999999999953,-0.0188842631140702,"Decrease"
"2019-8-31","NAPL",2019,8,31,4,0,"08-31","08-31_4",18.9603,2019-08-31 04:00:00,"all",1567238400,0.333611111111111,-0.1111,-0.333022481265613,"Decrease"
"2019-8-31","NAPL",2019,8,31,4,20,"08-31","08-31_4",18.5871,2019-08-31 04:20:00,"all",1567239600,0.333333333333333,-0.373200000000001,-1.1196,"Decrease"
"2019-8-31","NAPL",2019,8,31,4,40,"08-31","08-31_4",17.9144,2019-08-31 04:40:01,"all",1567240801,0.333611111111111,-0.672699999999999,-2.01641965029142,"targetDOWN"
"2019-8-31","NAPL",2019,8,31,5,0,"08-31","08-31_5",17.1484,2019-08-31 05:00:02,"all",1567242002,0.333611111111111,-0.766000000000002,-2.29608659450458,"targetDOWN"
"2019-8-31","NAPL",2019,8,31,5,20,"08-31","08-31_5",16.4312,2019-08-31 05:20:03,"all",1567243203,0.333611111111111,-0.717199999999998,-2.14980849292256,"targetDOWN"
"2019-8-31","NAPL",2019,8,31,5,39,"08-31","08-31_5",15.581,2019-08-31 05:39:56,"all",1567244396,0.331388888888889,-0.850200000000001,-2.56556580050294,"targetDOWN"
"2019-8-31","NAPL",2019,8,31,5,59,"08-31","08-31_5",14.8585,2019-08-31 05:59:57,"all",1567245597,0.333611111111111,-0.7225,-2.16569525395504,"targetDOWN"
"2019-8-31","NAPL",2019,8,31,6,19,"08-31","08-31_6",15.0335,2019-08-31 06:19:58,"all",1567246798,0.333611111111111,0.175000000000001,0.524562864279769,"Decrease"
"2019-8-31","NAPL",2019,8,31,6,39,"08-31","08-31_6",15.9247,2019-08-31 06:39:59,"all",1567247999,0.333611111111111,0.8912,2.67137385512073,"Decrease"
