"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2020-8-1","NAPL",2020,8,1,1,0,"08-01","08-01_1",16.048,2020-08-01 01:00:00,"all",1596258000,NA,NA,NA
"2020-8-1","NAPL",2020,8,1,1,20,"08-01","08-01_1",16.0602,2020-08-01 01:20:00,"all",1596259200,0.333333333333333,0.0122,0.0366
"2020-8-1","NAPL",2020,8,1,1,40,"08-01","08-01_1",16.0279,2020-08-01 01:40:01,"all",1596260401,0.333611111111111,-0.0322999999999993,-0.096819317235635
"2020-8-1","NAPL",2020,8,1,2,0,"08-01","08-01_2",15.9328,2020-08-01 02:00:02,"all",1596261602,0.333611111111111,-0.0950999999999986,-0.285062447960029
"2020-8-1","NAPL",2020,8,1,2,20,"08-01","08-01_2",15.8972,2020-08-01 02:20:03,"all",1596262803,0.333611111111111,-0.0356000000000005,-0.106711074104914
"2020-8-1","NAPL",2020,8,1,2,39,"08-01","08-01_2",16.0007,2020-08-01 02:39:56,"all",1596263996,0.331388888888889,0.103499999999999,0.312321877619443
"2020-8-1","NAPL",2020,8,1,2,59,"08-01","08-01_2",16.1293,2020-08-01 02:59:57,"all",1596265197,0.333611111111111,0.128600000000002,0.385478767693596
"2020-8-1","NAPL",2020,8,1,3,19,"08-01","08-01_3",16.0746,2020-08-01 03:19:58,"all",1596266398,0.333611111111111,-0.0547000000000004,-0.163963363863448
"2020-8-1","NAPL",2020,8,1,3,39,"08-01","08-01_3",15.7245,2020-08-01 03:39:59,"all",1596267599,0.333611111111111,-0.350099999999999,-1.04942547876769
"2020-8-1","NAPL",2020,8,1,4,0,"08-01","08-01_4",15.404,2020-08-01 04:00:00,"all",1596268800,0.333611111111111,-0.320500000000001,-0.960699417152376
"2020-8-1","NAPL",2020,8,1,4,20,"08-01","08-01_4",15.497,2020-08-01 04:20:00,"all",1596270000,0.333333333333333,0.093,0.279
"2020-8-1","NAPL",2020,8,1,4,40,"08-01","08-01_4",15.6441,2020-08-01 04:40:01,"all",1596271201,0.333611111111111,0.1471,0.440932556203164
"2020-8-1","NAPL",2020,8,1,5,0,"08-01","08-01_5",15.5226,2020-08-01 05:00:02,"all",1596272402,0.333611111111111,-0.121499999999999,-0.364196502914236
"2020-8-1","NAPL",2020,8,1,5,20,"08-01","08-01_5",15.4365,2020-08-01 05:20:03,"all",1596273603,0.333611111111111,-0.0861000000000001,-0.258084929225646
"2020-8-1","NAPL",2020,8,1,5,39,"08-01","08-01_5",15.4497,2020-08-01 05:39:56,"all",1596274796,0.331388888888889,0.0131999999999994,0.0398323554065364
"2020-8-1","NAPL",2020,8,1,5,59,"08-01","08-01_5",15.3868,2020-08-01 05:59:57,"all",1596275997,0.333611111111111,-0.0629000000000008,-0.188542880932559
"2020-8-1","NAPL",2020,8,1,6,19,"08-01","08-01_6",15.3402,2020-08-01 06:19:58,"all",1596277198,0.333611111111111,-0.0465999999999998,-0.139683597002497
"2020-8-1","NAPL",2020,8,1,6,39,"08-01","08-01_6",15.3975,2020-08-01 06:39:59,"all",1596278399,0.333611111111111,0.0573000000000015,0.171756869275608
"2020-8-1","NAPL",2020,8,1,7,0,"08-01","08-01_7",15.4782,2020-08-01 07:00:00,"all",1596279600,0.333611111111111,0.0806999999999984,0.241898417985008
"2020-8-1","NAPL",2020,8,1,7,20,"08-01","08-01_7",15.4883,2020-08-01 07:20:00,"all",1596280800,0.333333333333333,0.0101000000000013,0.030300000000004
"2020-8-1","NAPL",2020,8,1,7,40,"08-01","08-01_7",15.4361,2020-08-01 07:40:01,"all",1596282001,0.333611111111111,-0.0522000000000009,-0.156469608659453
"2020-8-1","NAPL",2020,8,1,8,0,"08-01","08-01_8",15.456,2020-08-01 08:00:02,"all",1596283202,0.333611111111111,0.0198999999999998,0.0596502914238129
"2020-8-1","NAPL",2020,8,1,8,20,"08-01","08-01_8",15.5258,2020-08-01 08:20:03,"all",1596284403,0.333611111111111,0.0698000000000008,0.209225645295589
"2020-8-1","NAPL",2020,8,1,8,39,"08-01","08-01_8",15.6707,2020-08-01 08:39:56,"all",1596285596,0.331388888888889,0.1449,0.437250628667225
"2020-8-1","NAPL",2020,8,1,8,59,"08-01","08-01_8",15.9909,2020-08-01 08:59:57,"all",1596286797,0.333611111111111,0.3202,0.959800166527893
"2020-8-1","NAPL",2020,8,1,9,19,"08-01","08-01_9",16.0614,2020-08-01 09:19:58,"all",1596287998,0.333611111111111,0.0704999999999991,0.211323896752703
"2020-8-1","NAPL",2020,8,1,9,39,"08-01","08-01_9",15.885,2020-08-01 09:39:59,"all",1596289199,0.333611111111111,-0.176399999999999,-0.528759367194003
"2020-8-1","NAPL",2020,8,1,10,0,"08-01","08-01_10",15.945,2020-08-01 10:00:00,"all",1596290400,0.333611111111111,0.0600000000000005,0.179850124895922
"2020-8-1","NAPL",2020,8,1,10,20,"08-01","08-01_10",15.9994,2020-08-01 10:20:00,"all",1596291600,0.333333333333333,0.0543999999999993,0.163199999999998
"2020-8-1","NAPL",2020,8,1,10,40,"08-01","08-01_10",15.9508,2020-08-01 10:40:01,"all",1596292801,0.333611111111111,-0.0486000000000004,-0.145678601165697
"2020-8-1","NAPL",2020,8,1,11,0,"08-01","08-01_11",16.046,2020-08-01 11:00:02,"all",1596294002,0.333611111111111,0.0952000000000002,0.285362198168194
