"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2018-6-3","NAPL",2018,6,3,10,0,"06-03","06-03_10",15.1307,2018-06-03 10:00:00,"all",1528034400,0.333611111111111,-0.163600000000001,-0.490391340549544,"Increase"
"2018-6-3","NAPL",2018,6,3,10,20,"06-03","06-03_10",14.8187,2018-06-03 10:20:00,"all",1528035600,0.333333333333333,-0.311999999999999,-0.935999999999998,"Increase"
"2018-6-3","NAPL",2018,6,3,10,40,"06-03","06-03_10",14.5989,2018-06-03 10:40:01,"all",1528036801,0.333611111111111,-0.219799999999999,-0.658850957535385,"Increase"
"2018-6-3","NAPL",2018,6,3,11,0,"06-03","06-03_11",14.3544,2018-06-03 11:00:02,"all",1528038002,0.333611111111111,-0.2445,-0.732889258950876,"Increase"
"2018-6-3","NAPL",2018,6,3,11,20,"06-03","06-03_11",14.1031,2018-06-03 11:20:03,"all",1528039203,0.333611111111111,-0.251300000000001,-0.753272273105747,"Increase"
"2018-6-3","NAPL",2018,6,3,11,39,"06-03","06-03_11",14.1591,2018-06-03 11:39:56,"all",1528040396,0.331388888888889,0.0560000000000009,0.168985750209559,"Increase"
"2018-6-3","NAPL",2018,6,3,11,59,"06-03","06-03_11",14.1573,2018-06-03 11:59:57,"all",1528041597,0.333611111111111,-0.00180000000000113,-0.005395503746881,"Increase"
"2018-6-3","NAPL",2018,6,3,12,19,"06-03","06-03_12",13.7616,2018-06-03 12:19:58,"all",1528042798,0.333611111111111,-0.3957,-1.18611157368859,"Increase"
"2018-6-3","NAPL",2018,6,3,12,39,"06-03","06-03_12",13.7472,2018-06-03 12:39:59,"all",1528043999,0.333611111111111,-0.0144000000000002,-0.0431640299750214,"Increase"
"2018-6-3","NAPL",2018,6,3,13,0,"06-03","06-03_13",14.1606,2018-06-03 13:00:00,"all",1528045200,0.333611111111111,0.413400000000001,1.23916736053289,"Increase"
"2018-6-3","NAPL",2018,6,3,13,20,"06-03","06-03_13",14.3049,2018-06-03 13:20:00,"all",1528046400,0.333333333333333,0.144299999999999,0.432899999999998,"Increase"
"2018-6-3","NAPL",2018,6,3,13,40,"06-03","06-03_13",14.9841,2018-06-03 13:40:01,"all",1528047601,0.333611111111111,0.6792,2.03590341382181,"targetUP"
"2018-6-3","NAPL",2018,6,3,14,0,"06-03","06-03_14",16.0537,2018-06-03 14:00:02,"all",1528048802,0.333611111111111,1.0696,3.20612822647793,"targetUP"
"2018-6-3","NAPL",2018,6,3,14,20,"06-03","06-03_14",16.3224,2018-06-03 14:20:03,"all",1528050003,0.333611111111111,0.268699999999999,0.805428809325559,"Increase"
"2018-6-3","NAPL",2018,6,3,14,39,"06-03","06-03_14",16.179,2018-06-03 14:39:56,"all",1528051196,0.331388888888889,-0.1434,-0.432724224643754,"Increase"
"2018-6-3","NAPL",2018,6,3,14,59,"06-03","06-03_14",16.1306,2018-06-03 14:59:57,"all",1528052397,0.333611111111111,-0.0483999999999973,-0.145079100749368,"Increase"
"2018-6-3","NAPL",2018,6,3,15,19,"06-03","06-03_15",16.0982,2018-06-03 15:19:58,"all",1528053598,0.333611111111111,-0.0324000000000026,-0.0971190674438048,"Increase"
"2018-6-3","NAPL",2018,6,3,15,39,"06-03","06-03_15",16.0257,2018-06-03 15:39:59,"all",1528054799,0.333611111111111,-0.072499999999998,-0.217318900915897,"Increase"
"2018-6-3","NAPL",2018,6,3,16,0,"06-03","06-03_16",15.6783,2018-06-03 16:00:00,"all",1528056000,0.333611111111111,-0.3474,-1.04133222314738,"Increase"
"2018-6-3","NAPL",2018,6,3,16,20,"06-03","06-03_16",15.4638,2018-06-03 16:20:00,"all",1528057200,0.333333333333333,-0.214499999999999,-0.643499999999998,"Increase"
"2018-6-3","NAPL",2018,6,3,16,40,"06-03","06-03_16",15.7373,2018-06-03 16:40:01,"all",1528058401,0.333611111111111,0.273499999999999,0.819816819317231,"Increase"
"2018-6-3","NAPL",2018,6,3,17,0,"06-03","06-03_17",15.9058,2018-06-03 17:00:02,"all",1528059602,0.333611111111111,0.1685,0.505079100749375,"Increase"
"2018-6-3","NAPL",2018,6,3,17,20,"06-03","06-03_17",15.9085,2018-06-03 17:20:03,"all",1528060803,0.333611111111111,0.00270000000000081,0.00809325562031884,"Increase"
"2018-6-11","NAPL",2018,6,11,12,19,"06-11","06-11_12",17.3485,2018-06-11 12:19:58,"all",1528733998,0.333611111111111,-0.00269999999999726,-0.00809325562030819,"Decrease"
"2018-6-11","NAPL",2018,6,11,12,39,"06-11","06-11_12",17.3101,2018-06-11 12:39:59,"all",1528735199,0.333611111111111,-0.0384000000000029,-0.115104079933397,"Decrease"
"2018-6-11","NAPL",2018,6,11,13,0,"06-11","06-11_13",17.2951,2018-06-11 13:00:00,"all",1528736400,0.333611111111111,-0.014999999999997,-0.0449625312239711,"Decrease"
"2018-6-11","NAPL",2018,6,11,13,20,"06-11","06-11_13",17.3223,2018-06-11 13:20:00,"all",1528737600,0.333333333333333,0.027199999999997,0.081599999999991,"Decrease"
"2018-6-11","NAPL",2018,6,11,13,40,"06-11","06-11_13",17.3252,2018-06-11 13:40:01,"all",1528738801,0.333611111111111,0.00290000000000035,0.00869275603663718,"Decrease"
"2018-6-11","NAPL",2018,6,11,14,0,"06-11","06-11_14",17.2894,2018-06-11 14:00:02,"all",1528740002,0.333611111111111,-0.0357999999999983,-0.107310574521227,"Decrease"
"2018-6-11","NAPL",2018,6,11,14,20,"06-11","06-11_14",17.2552,2018-06-11 14:20:03,"all",1528741203,0.333611111111111,-0.034200000000002,-0.10251457119068,"Decrease"
"2018-6-11","NAPL",2018,6,11,14,39,"06-11","06-11_14",17.2206,2018-06-11 14:39:56,"all",1528742396,0.331388888888889,-0.0345999999999975,-0.104409052808039,"Decrease"
"2018-6-11","NAPL",2018,6,11,14,59,"06-11","06-11_14",17.2177,2018-06-11 14:59:57,"all",1528743597,0.333611111111111,-0.00290000000000035,-0.00869275603663718,"Decrease"
