"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2016-8-17","NAPL",2016,8,17,12,39,"08-17","08-17_12",15.9935,2016-08-17 12:39:59,"all",1471451999,0.333611111111111,0.2942,0.881865112406328,"Increase"
"2016-8-17","NAPL",2016,8,17,13,0,"08-17","08-17_13",16.7259,2016-08-17 13:00:00,"all",1471453200,0.333611111111111,0.7324,2.19537052456286,"targetUP"
"2016-8-17","NAPL",2016,8,17,13,20,"08-17","08-17_13",16.7868,2016-08-17 13:20:00,"all",1471454400,0.333333333333333,0.0609000000000002,0.182700000000001,"Increase"
"2016-8-17","NAPL",2016,8,17,13,40,"08-17","08-17_13",16.3041,2016-08-17 13:40:01,"all",1471455601,0.333611111111111,-0.482700000000001,-1.44689425478768,"Increase"
"2016-8-17","NAPL",2016,8,17,14,0,"08-17","08-17_14",16.0308,2016-08-17 14:00:02,"all",1471456802,0.333611111111111,-0.273299999999999,-0.819217318900913,"Increase"
"2016-8-17","NAPL",2016,8,17,14,20,"08-17","08-17_14",15.7574,2016-08-17 14:20:03,"all",1471458003,0.333611111111111,-0.273399999999999,-0.819517069109072,"Increase"
"2016-8-17","NAPL",2016,8,17,14,39,"08-17","08-17_14",15.4931,2016-08-17 14:39:56,"all",1471459196,0.331388888888889,-0.2643,-0.797552388935458,"Increase"
"2016-8-17","NAPL",2016,8,17,14,59,"08-17","08-17_14",15.4772,2016-08-17 14:59:57,"all",1471460397,0.333611111111111,-0.0159000000000002,-0.0476602830974196,"Increase"
"2016-8-17","NAPL",2016,8,17,15,19,"08-17","08-17_15",15.3812,2016-08-17 15:19:58,"all",1471461598,0.333611111111111,-0.0960000000000001,-0.287760199833472,"Increase"
"2016-8-17","NAPL",2016,8,17,15,39,"08-17","08-17_15",15.1731,2016-08-17 15:39:59,"all",1471462799,0.333611111111111,-0.2081,-0.623780183180683,"Increase"
"2016-8-17","NAPL",2016,8,17,16,0,"08-17","08-17_16",15.3004,2016-08-17 16:00:00,"all",1471464000,0.333611111111111,0.1273,0.38158201498751,"Increase"
"2016-8-17","NAPL",2016,8,17,16,20,"08-17","08-17_16",15.9871,2016-08-17 16:20:00,"all",1471465200,0.333333333333333,0.6867,2.0601,"targetUP"
"2016-8-17","NAPL",2016,8,17,16,40,"08-17","08-17_16",17.3094,2016-08-17 16:40:01,"all",1471466401,0.333611111111111,1.3223,3.96359700249792,"targetUP"
"2016-8-17","NAPL",2016,8,17,17,0,"08-17","08-17_17",18.2551,2016-08-17 17:00:02,"all",1471467602,0.333611111111111,0.945699999999999,2.83473771856786,"targetUP"
"2016-8-17","NAPL",2016,8,17,17,20,"08-17","08-17_17",17.3637,2016-08-17 17:20:03,"all",1471468803,0.333611111111111,-0.891399999999997,-2.67197335553704,"Increase"
"2016-8-17","NAPL",2016,8,17,17,39,"08-17","08-17_17",15.1709,2016-08-17 17:39:56,"all",1471469996,0.331388888888889,-2.1928,-6.61699916177704,"Increase"
"2016-8-17","NAPL",2016,8,17,17,59,"08-17","08-17_17",14.0855,2016-08-17 17:59:57,"all",1471471197,0.333611111111111,-1.0854,-3.25348875936719,"Increase"
"2016-8-17","NAPL",2016,8,17,18,19,"08-17","08-17_18",14.7717,2016-08-17 18:19:58,"all",1471472398,0.333611111111111,0.6862,2.056885928393,"targetUP"
"2016-8-17","NAPL",2016,8,17,18,39,"08-17","08-17_18",15.492,2016-08-17 18:39:59,"all",1471473599,0.333611111111111,0.720300000000002,2.15910074937553,"targetUP"
"2016-8-17","NAPL",2016,8,17,19,0,"08-17","08-17_19",16.044,2016-08-17 19:00:00,"all",1471474800,0.333611111111111,0.552,1.65462114904246,"Increase"
"2016-8-17","NAPL",2016,8,17,19,20,"08-17","08-17_19",17.3694,2016-08-17 19:20:00,"all",1471476000,0.333333333333333,1.3254,3.9762,"targetUP"
"2016-8-17","NAPL",2016,8,17,19,40,"08-17","08-17_19",18.3867,2016-08-17 19:40:01,"all",1471477201,0.333611111111111,1.0173,3.04935886761033,"targetUP"
"2016-8-17","NAPL",2016,8,17,20,0,"08-17","08-17_20",18.2386,2016-08-17 20:00:02,"all",1471478402,0.333611111111111,-0.148099999999999,-0.443930058284761,"Increase"
"2016-8-17","NAPL",2016,8,17,20,20,"08-17","08-17_20",17.9906,2016-08-17 20:20:03,"all",1471479603,0.333611111111111,-0.248000000000001,-0.743380516236473,"Increase"
"2016-8-17","NAPL",2016,8,17,1,0,"08-17","08-17_1",19.4952,2016-08-17 01:00:00,"all",1471410000,0.333611111111111,0.188600000000001,0.565328892589512,"Decrease"
"2016-8-17","NAPL",2016,8,17,1,20,"08-17","08-17_1",19.616,2016-08-17 01:20:00,"all",1471411200,0.333333333333333,0.120799999999999,0.362399999999997,"Decrease"
"2016-8-17","NAPL",2016,8,17,1,40,"08-17","08-17_1",19.7355,2016-08-17 01:40:01,"all",1471412401,0.333611111111111,0.119499999999999,0.358201498751037,"Decrease"
"2016-8-17","NAPL",2016,8,17,2,0,"08-17","08-17_2",19.802,2016-08-17 02:00:02,"all",1471413602,0.333611111111111,0.0665000000000013,0.199333888426315,"Decrease"
"2016-8-17","NAPL",2016,8,17,2,20,"08-17","08-17_2",19.7679,2016-08-17 02:20:03,"all",1471414803,0.333611111111111,-0.0340999999999987,-0.102214820982511,"Decrease"
