FishID,DateRespo,ExperimentID,Tank,RespoID,Resp.Vol.L,sex,Mass.g,TL.cm,FL.cm,SL.cm,Depth.cm,Curcumference.cm,filename,Ch,BW,t_min,t_max,t_mean,N_mo2,rmr,mmrChase,mmr,AS,mmr_length_cycle,treatm,origin,pregnant,sizeClass,FAS
2-RLTB1,3-Jun,spring,2,R2-9,2.227,M,64.5,16.5,15.5,13,5.5,12.6,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.0645,19.61,20.6,20.00493506,77,0.269741519,0.458074232,0.48601627,0.216274751,180,20,field,nP,> YOY,1.801785175
2-RLTB1,8-Jun,spring,2,R2-11,2.227,M,66.5,16.5,15.5,12.7,5.6,13.2,jun08_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.0665,11.35,12.46,11.64487179,78,0.094303105,0.263985761,0.279184536,0.18488143,180,12,field,nP,> YOY,2.960502042
2-RLTB1,27-May,spring,2,R2-10,2.227,M,65.5,16.6,15.5,13,5.6,12.8,may27_2021_box2_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch2,0.0615,14.78,16.66,16.25857143,63,0.128573212,0.273902082,0.302096892,0.173523681,180,16,field,nP,> YOY,2.349609909
2-RRTT1,3-Jun,spring,2,R2-11,2.227,M,61.5,15.8,15.5,12.9,5.5,12.5,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.0615,19.61,20.6,20.00837838,74,0.240408124,0.414219133,0.417242881,0.176834757,180,20,field,nP,> YOY,1.735560653
2-RRTT1,8-Jun,spring,2,R4-1,4.159,M,62.5,15.8,15.5,12.7,5.5,12.7,jun08_2021_box2_smr2_mgO2L_analyzed_SMR,Ch2,0.0625,11.86,12.56,12.12481013,79,0.114736354,NA,0.249665399,0.134929044,NA,12,field,nP,> YOY,2.175992079
2-RRTT1,27-May,spring,2,R2-12,2.227,M,61.5,16,15.2,13,5.6,12.5,may27_2021_box3_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch2,0.0615,15.07,16.54,15.74557377,61,0.134599528,0.304463513,0.310288708,0.175689181,180,16,field,nP,> YOY,2.305273381
BLDT1,1-Jun,spring,A2,R2-9,2.227,f,105,18.3,17.7,15,6.9,15.2,jun01_2021_box3_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.105,15.69,16.45,16.01227273,44,NA,0.51716965,0.51716965,NA,180,16,field,nP,> YOY,NA
BLTB1,1-Jun,spring,A2,R2-12,2.227,F,86,17.9,17.3,14.5,6.1,13.8,jun01_2021_box3_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.086,15.62,16.45,15.89890244,82,0.244143112,0.326151489,0.471960981,0.227817869,180,16,field,nP,> YOY,1.933132483
BLTB1,6-Jun,spring,A2,R2-10,2.227,F,84,17.8,17,14.5,6,13.6,jun06_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.084,19.63,20.3,19.99974684,79,0.29969923,0.465471374,0.483521113,0.183821883,180,20,field,nP,> YOY,1.613354537
BLTB1,11-Jun,spring,A2,R2-10,2.227,F,85.5,17.5,17.3,14.6,6,13.6,jun11_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.0855,11.92,12.49,12.18782051,78,0.142783945,0.294296246,0.386082462,0.243298517,180,12,field,nP,> YOY,2.703962711
BLTT1,2-Jun,spring,A1,R2-11,2.227,F,88,17.4,16.5,14.2,6.2,14.1,jun02_2021_box3_smr2_mgO2L_analyzed_GLUED_n2_SMR,Ch3,0.088,15.63,16.33,16.09808219,73,0.193935392,NA,0.45324988,0.259314488,1,16,field,nP,> YOY,2.337117917
BLTT1,7-Jun,spring,A1,R2-12,2.227,F,86.5,17.4,16.5,14.1,6,13.9,jun07_2021_box3_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.0865,19.24,20.31,19.89194805,77,0.387457462,0.43674733,0.646413351,0.258955889,180,20,field,nP,> YOY,1.668346631
BLTT1,12-Jun,spring,A1,R2-9,2.227,F,89,17.2,16.6,14,6.3,14.1,jun12_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.089,11.59,12.84,11.8868,75,0.170733492,0.279372742,0.450366642,0.27963315,180,12,field,nP,> YOY,2.637834185
BLTTB1,1-Jun,spring,A2,R4-2,4.159,f,138,21,19.6,16.8,7.2,16.2,jun01_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch3,0.138,15.72,16.46,15.92506494,77,0.410615697,0.63374057,0.733273914,0.322658218,180,16,field,P,> YOY,1.78579124
BLTTB1,6-Jun,spring,A2,R4-2,4.159,F,137,20.7,19.8,16.9,7.3,16.3,jun06_2021_box2_smr1_mgO2L_analyzed_SMR,Ch3,0.137,19,20.73,20.01567901,81,0.525188573,0.82685893,0.885454099,0.360265526,180,20,field,P,> YOY,1.685973656
BLTTB1,11-Jun,spring,A2,R4-2,4.159,F,135.5,20,19.5,16.7,7,16.2,jun11_2021_box2_smr1_mgO2L_analyzed_SMR,Ch3,0.1355,11.39,11.74,11.583875,80,0.299675803,0.571457859,0.58301621,0.283340407,180,12,field,P,> YOY,1.945489771
GLDT1,2-Jun,spring,A1,R6-1,6.1,F,284.5,25.5,23.9,20.7,9.8,21.5,jun02_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.2845,14.92,16.31,15.98693333,75,0.708190498,1.294990201,1.294990201,0.586799703,120,16,field,P,> YOY,1.828590196
GLDT1,7-Jun,spring,A1,R6-1,6.1,F,196,24.5,23,19.8,8.3,19.1,jun07_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.196,19.36,20.61,20.22315789,76,NA,0.882060387,0.933950827,NA,180,20,field,P,> YOY,NA
