FishID,time_ARRH,temp_ARRH,Tpeak,HRpeak,breakpoint_CIl,breakpoint_CIh,breakpoint_bpm,breakpoint_Cels,heart.mass,temp.rate,mass.g,Tank,Depth.cm,SL.cm,FL.cm,TL.cm,BW,origin,sizeClass,RVM,sex
r2-2-BRTT,NA,NA,26,146.0796115,3.38431,3.39629,134.677252,21.81,0.064,0.165166486,105.5,2,6.6,15.3,17.6,18.4,0.1055,field,> YOY,0.060663507,F
r2-2-GRTT,71.46,26.98440007,25.1,131.6381672,3.39123,3.40997,120.4929687,20.92,0.072,0.164203179,113,2,7,15.4,17.8,18.1,0.113,field,> YOY,0.063716814,M
r2-2-RLD-RLD,81,28.57465775,26,157.0205688,3.38595,3.40565,131.0604622,21.33,0.056,0.167491895,99,2,6.8,15,17.5,18.7,0.099,field,> YOY,0.056565657,F
r2-3-GLD-GLD,75.12,26.60120739,25.1,136.9837316,3.36712,3.38828,129.5412237,22.91,0.075,0.160289582,123.5,3,7,15.7,18.3,20,0.1235,field,> YOY,0.060728745,F
r2-3-GRD-GRD,82.92,28.89624219,26.9,155.1635991,3.38374,3.44106,107.9665179,NA,0.069,0.167491895,124.5,3,6.9,15.5,18.1,19.3,0.1245,field,> YOY,0.055421687,F
r2-3-OLD-OLD,63.98,25.70763129,23,132.7600768,3.38298,3.40902,125.4005733,21.31,0.068,0.165927038,121,3,7,16,18.6,19.8,0.121,field,> YOY,0.056198347,F
r2-3-RRD-RRD,76.32,26.79355489,24.1,129.3608708,3.37252,3.38148,126.5245423,22.97,0.094,0.160289582,100,5,6.5,15.4,17.6,18.5,0.1,field,> YOY,0.094,F
r2-4-GRD-ORD,76.38,26.81761544,26.1,126.9644261,3.3533,3.3663,124.7010596,24.49,0.179,0.163881911,249,4,9.1,20.2,23.5,23.5,0.249,field,> YOY,0.07188755,M
r2-4-RLD-GLD,70.02,26.77394352,25,117.6637421,3.36392,3.37668,116.0764156,23.56,0.132,0.165192079,233,4,9,19.2,22.6,23.8,0.233,field,> YOY,0.056652361,M
r2-4-RRD-ORD,77.94,27.04373843,26.1,132.8472634,3.39965,3.42675,104.6933373,19.83,0.107,0.16097821,162.5,4,7.8,16.5,19.7,20.5,0.1625,field,> YOY,0.065846154,M
r2-GLD-GLD-GLD,39.17,21.65858794,19.9,113.7651452,NA,NA,NA,NA,NA,0.1564465,13.9,N1,3.3,7,8.6,9.3,0.0139,lab,YOY,NA,M
r2-OLD-GLD,67.307,27.56927832,26,168.9104425,3.40241,3.41899,131.3442672,20.04,0.013,0.174960426,11.52,N9,3,NA,8.7,9.2,0.01152,lab,YOY,0.112847222,NA
r2-N10-RLD-RLTT,49.043,23.33363069,22.2,111.538711,3.41335,3.44805,98.64857526,18.34,NA,0.160708524,14.9,N10,3.4,7.6,9.1,9.5,0.0149,lab,YOY,NA,F
r2-RRD,77.08,27.83941558,26,151.0695859,3.40517,3.43103,125.2259268,19.41,NA,0.160708524,12.8,N10,3.1,7.4,8.8,9.2,0.0128,lab,YOY,NA,M
r2-RRD-BRD,49.148,24.30099138,23,128.1325013,3.42504,3.43456,109.9326868,18.41,0.014,0.169342316,14.34,N10,3.2,NA,8.6,9.3,0.01434,lab,YOY,0.09762901,M
