FishID,bpm,bpm.SD,temp_mean,Depth.cm,SL.cm,TL.cm,FL.cm,Tank,mass.g,bpm_duration,temp.rate,heart.mass,breakpoint_Cels,breakpoint_bpm,breakpoint_CIh,breakpoint_CIl,HRpeak,Tpeak,temp_ARRH,time_ARRH,TEMP,sizeClass,treatm,BW
r2-GLD-GLD-GLD,104.5360835,0.6054,18.1,3.3,7,9.3,8.6,N1,13.9,19.299,0.1564465,NA,NA,NA,NA,NA,113.7651452,19.9,21.65858794,39.17,18,Juvenile,18,0.0139
r2-GLD-GLD-GLD,110.0899537,0.8756,18.8,3.3,7,9.3,8.6,N1,13.9,15.299,0.1564465,NA,NA,NA,NA,NA,113.7651452,19.9,21.65858794,39.17,19,Juvenile,19,0.0139
r2-GLD-GLD-GLD,113.7651452,0.8323,19.9,3.3,7,9.3,8.6,N1,13.9,15.449,0.1564465,NA,NA,NA,NA,NA,113.7651452,19.9,21.65858794,39.17,20,Juvenile,20,0.0139
r2-GLD-GLD-GLD,113.2317273,1.1672,21.05,3.3,7,9.3,8.6,N1,13.9,15.299,0.1564465,NA,NA,NA,NA,NA,113.7651452,19.9,21.65858794,39.17,21,Juvenile,21,0.0139
r2-OLD-GLD,100.4741243,0.730212293,16.35,3,NA,9.2,8.7,N9,11.52,0.267,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,16,Juvenile,16,0.01152
r2-OLD-GLD,168.9104425,1.228332145,26,3,NA,9.2,8.7,N9,11.52,0.255,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,26,Juvenile,26,0.01152
r2-OLD-GLD,163.6167155,2.15906839,27.25,3,NA,9.2,8.7,N9,11.52,0.29,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,27,Juvenile,27,0.01152
r2-OLD-GLD,111.3185976,0.928775594,17.8,3,NA,9.2,8.7,N9,11.52,0.321,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,18,Juvenile,18,0.01152
r2-OLD-GLD,121.1939688,0.958016472,19,3,NA,9.2,8.7,N9,11.52,0.287,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,19,Juvenile,19,0.01152
r2-OLD-GLD,131.5012619,1.378611914,20,3,NA,9.2,8.7,N9,11.52,0.263,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,20,Juvenile,20,0.01152
r2-OLD-GLD,135.7342818,1.534658267,21,3,NA,9.2,8.7,N9,11.52,0.277,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,21,Juvenile,21,0.01152
r2-OLD-GLD,144.1203911,2.092522701,22.05,3,NA,9.2,8.7,N9,11.52,0.282,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,22,Juvenile,22,0.01152
r2-OLD-GLD,150.0981319,2.082995774,23.1,3,NA,9.2,8.7,N9,11.52,0.199,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,23,Juvenile,23,0.01152
r2-OLD-GLD,155.899122,2.284138734,24.1,3,NA,9.2,8.7,N9,11.52,0.278,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,24,Juvenile,24,0.01152
r2-OLD-GLD,160.796915,1.3798,25.1,3,NA,9.2,8.7,N9,11.52,0.268,0.174960426,0.013,20.04,131.3442672,3.41899,3.40241,168.9104425,26,27.56927832,67.307,25,Juvenile,25,0.01152
r2-RRD-BRD,126.6247579,0.924497876,24.05,3.2,NA,9.3,8.6,N10,14.34,0.278,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,24,Juvenile,24,0.01434
r2-RRD-BRD,96.05575657,0.749992915,16.7,3.2,NA,9.3,8.6,N10,14.34,0.267,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,17,Juvenile,17,0.01434
r2-RRD-BRD,105.2032444,0.943720613,17.85,3.2,NA,9.3,8.6,N10,14.34,0.321,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,18,Juvenile,18,0.01434
r2-RRD-BRD,111.7043523,1.182214103,18.95,3.2,NA,9.3,8.6,N10,14.34,0.287,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,19,Juvenile,19,0.01434
r2-RRD-BRD,115.6858002,1.365901439,19.85,3.2,NA,9.3,8.6,N10,14.34,0.263,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,20,Juvenile,20,0.01434
r2-RRD-BRD,121.1517599,1.563940744,21.15,3.2,NA,9.3,8.6,N10,14.34,0.277,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,21,Juvenile,21,0.01434
r2-RRD-BRD,124.6293629,1.245648522,22.1,3.2,NA,9.3,8.6,N10,14.34,0.282,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,22,Juvenile,22,0.01434
r2-RRD-BRD,128.1325013,1.556127684,23,3.2,NA,9.3,8.6,N10,14.34,0.199,0.169342316,0.014,18.41,109.9326868,3.43456,3.42504,128.1325013,23,24.30099138,49.148,23,Juvenile,23,0.01434
r2-1-GRD,94.7759426,0.1476,16.1,3,7.1,9.1,8.7,1,11.81,0.251,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,16,Juvenile,16,0.01181
r2-1-GRD,149.7912956,0.2759,25,3,7.1,9.1,8.7,1,11.81,0.255,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,25,Juvenile,25,0.01181
r2-1-GRD,153.1891379,0.3045,26.15,3,7.1,9.1,8.7,1,11.81,0.257,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,26,Juvenile,26,0.01181
r2-1-GRD,103.0108279,0.1898,17.05,3,7.1,9.1,8.7,1,11.81,0.253,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,17,Juvenile,17,0.01181
r2-1-GRD,111.7324589,0.1324,18.1,3,7.1,9.1,8.7,1,11.81,0.251,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,18,Juvenile,18,0.01181
r2-1-GRD,120.4838557,0.1319,19.1,3,7.1,9.1,8.7,1,11.81,0.267,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,19,Juvenile,19,0.01181
r2-1-GRD,129.087997,0.2409,20.05,3,7.1,9.1,8.7,1,11.81,0.265,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,20,Juvenile,20,0.01181
r2-1-GRD,137.5080728,0.2335,21.05,3,7.1,9.1,8.7,1,11.81,0.258,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,21,Juvenile,21,0.01181
r2-1-GRD,145.7883025,0.4203,22.1,3,7.1,9.1,8.7,1,11.81,0.254,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,22,Juvenile,22,0.01181
r2-1-GRD,146.4555846,0.5674,23,3,7.1,9.1,8.7,1,11.81,0.254,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,23,Juvenile,23,0.01181
r2-1-GRD,146.2945324,0.3579,24,3,7.1,9.1,8.7,1,11.81,0.255,0.167632865,0.009,21.55,143.7748494,3.39769,3.38891,153.1891379,26.15,27.00201912,70.74,24,Juvenile,24,0.01181
r2-1-RRD,100.4296109,0.1794,16.1,4,9.4,11.5,10.8,1,25.44,0.251,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,16,Juvenile,16,0.02544
r2-1-RRD,154.2329531,0.3018,25,4,9.4,11.5,10.8,1,25.44,0.255,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,25,Juvenile,25,0.02544
r2-1-RRD,150.3510119,0.2198,26.15,4,9.4,11.5,10.8,1,25.44,0.257,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,26,Juvenile,26,0.02544
r2-1-RRD,108.3048782,0.1951,17.05,4,9.4,11.5,10.8,1,25.44,0.253,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,17,Juvenile,17,0.02544
r2-1-RRD,116.6894351,0.1792,18.1,4,9.4,11.5,10.8,1,25.44,0.251,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,18,Juvenile,18,0.02544
r2-1-RRD,124.8577974,0.2506,19.1,4,9.4,11.5,10.8,1,25.44,0.267,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,19,Juvenile,19,0.02544
r2-1-RRD,132.8412301,0.2528,20.05,4,9.4,11.5,10.8,1,25.44,0.265,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,20,Juvenile,20,0.02544
r2-1-RRD,141.1138275,0.2122,21.05,4,9.4,11.5,10.8,1,25.44,0.258,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,21,Juvenile,21,0.02544
r2-1-RRD,150.5990716,0.3409,22.1,4,9.4,11.5,10.8,1,25.44,0.254,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,22,Juvenile,22,0.02544
r2-1-RRD,155.0602268,0.5457,23,4,9.4,11.5,10.8,1,25.44,0.254,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,23,Juvenile,23,0.02544
r2-1-RRD,153.4592546,0.5558,24,4,9.4,11.5,10.8,1,25.44,0.255,0.167632865,0.017,21.77,148.8849708,3.39958,3.38202,155.0602268,23,26.70027996,68.94,24,Juvenile,24,0.02544
r2-1-ORTT,86.91568356,0.2417,16.3,3.8,NA,NA,NA,1,19.54,0.251,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,16,Juvenile,16,0.01954
r2-1-ORTT,130.5717731,0.4387,24.9,3.8,NA,NA,NA,1,19.54,0.255,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,25,Juvenile,25,0.01954
r2-1-ORTT,129.2374127,1.7401,25.95,3.8,NA,NA,NA,1,19.54,0.257,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,26,Juvenile,26,0.01954
r2-1-ORTT,92.4154618,0.2857,17,3.8,NA,NA,NA,1,19.54,0.253,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,17,Juvenile,17,0.01954
r2-1-ORTT,99.82534122,0.2509,18,3.8,NA,NA,NA,1,19.54,0.251,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,18,Juvenile,18,0.01954
r2-1-ORTT,106.5790241,0.2869,19,3.8,NA,NA,NA,1,19.54,0.267,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,19,Juvenile,19,0.01954
r2-1-ORTT,113.3499756,0.305,20,3.8,NA,NA,NA,1,19.54,0.265,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,20,Juvenile,20,0.01954
r2-1-ORTT,118.7743111,0.5292,20.9,3.8,NA,NA,NA,1,19.54,0.258,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,21,Juvenile,21,0.01954
r2-1-ORTT,123.4457715,0.5132,22,3.8,NA,NA,NA,1,19.54,0.254,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,22,Juvenile,22,0.01954
r2-1-ORTT,123.9932978,0.3936,22.9,3.8,NA,NA,NA,1,19.54,0.254,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,23,Juvenile,23,0.01954
